,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
231,0.0269,0.2943,0.3355,0.2173,0.1693,0.2264,0.6162,0.0001,0.0002,0.0741,0.2046,1.537,1.5673,4.648,0.6291,6.9618
232,0.0269,0.1714,0.3849,0.2045,0.2375,0.2194,0.6647,0.0002,0.0002,0.0695,0.207,1.5053,1.5363,7.3109,0.8683,9.83
233,0.0266,0.3049,0.3477,0.2103,0.1718,0.2339,0.6192,0.0002,0.0001,0.0729,0.2159,1.5694,1.599,4.6494,0.6244,6.9885
234,0.027,0.292,0.3163,0.2135,0.1611,0.2222,0.6,0.0002,0.0002,0.067,0.2118,1.4968,1.527,4.5996,0.6099,6.8518
235,0.0281,0.28,0.3163,0.2063,0.1664,0.2224,0.5981,0.0002,0.0002,0.0726,0.2192,1.4987,1.5304,4.8208,0.6226,7.0949
236,0.0269,0.2827,0.3504,0.2183,0.234,0.2276,0.6882,0.0003,0.0001,0.0958,0.2164,1.6526,1.6833,4.608,0.6244,7.0329
237,0.0272,0.2781,0.3352,0.2101,0.1686,0.2223,0.6043,0.0002,0.0001,0.0773,0.1996,1.5023,1.5327,4.6988,0.6308,6.9794
238,0.0274,0.3015,0.3515,0.2107,0.2227,0.2214,0.6587,0.0002,0.0002,0.078,0.2078,1.6105,1.6411,4.712,0.6286,7.0998
239,0.0281,0.2821,0.3382,0.2108,0.2127,0.2284,0.6549,0.0002,0.0002,0.0776,0.2096,1.5698,1.601,4.7519,0.6399,7.1102
240,0.0273,0.2793,0.3559,0.2046,0.2327,0.2164,0.6617,0.0002,0.0001,0.074,0.2066,1.5875,1.6191,6.2366,0.8906,8.8725
241,0.0279,0.3054,0.3623,0.2136,0.1822,0.2217,0.6208,0.0002,0.0001,0.0591,0.2146,1.5747,1.6061,4.7666,0.6213,7.1158
242,0.0276,0.2811,0.3331,0.2113,0.1719,0.2236,0.6101,0.0002,0.0002,0.0783,0.2191,1.5285,1.5589,4.8447,0.6162,7.1369
243,0.0275,0.2976,0.3589,0.2133,0.1781,0.2274,0.6236,0.0003,0.0001,0.0769,0.2114,1.5792,1.6097,4.8246,0.6502,7.2014
244,0.0276,0.3044,0.3634,0.2241,0.2079,0.2338,0.6799,0.0003,0.0002,0.0929,0.2323,1.6904,1.7214,4.933,0.6208,7.3926
245,0.0271,0.3034,0.348,0.222,0.2259,0.2237,0.6808,0.0002,0.0002,0.0853,0.2044,1.6395,1.6701,4.6212,0.631,7.0395
246,0.0273,0.2873,0.3629,0.2266,0.2362,0.2255,0.695,0.0002,0.0002,0.0804,0.2271,1.6705,1.7013,4.6296,0.6209,7.0685
247,0.027,0.2859,0.3409,0.2242,0.2322,0.2241,0.6882,0.0002,0.0002,0.0702,0.2007,1.599,1.6294,4.6356,0.6215,7.004
248,0.0271,0.2582,0.3754,0.2243,0.1948,0.216,0.6416,0.0003,0.0001,0.0848,0.2292,1.6047,1.6366,8.0415,0.6091,10.406
249,0.0269,0.3037,0.3591,0.2165,0.191,0.2233,0.6522,0.0002,0.0001,0.0703,0.2221,1.6304,1.6609,4.659,0.6194,7.0557
250,0.027,0.2782,0.3324,0.2173,0.18,0.2317,0.6377,0.0003,0.0002,0.0764,0.2148,1.5541,1.5845,4.6007,0.6062,6.9078
251,0.027,0.2965,0.3472,0.2168,0.2036,0.2296,0.6578,0.0001,0.0001,0.0747,0.2216,1.6149,1.6453,4.6192,0.6208,7.0025
252,0.027,0.295,0.3498,0.2154,0.1816,0.2344,0.6388,0.0003,0.0001,0.0778,0.2198,1.5985,1.6293,4.6194,0.6202,6.9871
253,0.027,0.2863,0.3578,0.2236,0.1816,0.2243,0.6336,0.0002,0.0002,0.0671,0.2156,1.5717,1.6021,4.6359,0.6235,6.9781
254,0.0271,0.2881,0.3369,0.2161,0.2254,0.2263,0.672,0.0002,0.0001,0.072,0.2139,1.5947,1.6248,4.5989,0.6206,6.9607
255,0.0272,0.3001,0.3296,0.2114,0.1746,0.2277,0.6174,0.0002,0.0002,0.0751,0.2117,1.5435,1.5737,4.5621,0.6168,6.8692
256,0.0272,0.2579,0.361,0.2045,0.1825,0.2104,0.6024,0.0002,0.0002,0.078,0.2156,1.5311,1.5633,7.5042,0.6168,9.8037
