,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
173,0.0457,0.4251,0.487,0.3398,0.263,0.2308,0.2785,0.7806,0.0003,0.0002,0.0879,0.2747,2.4151,2.464,8.6177,1.1546,12.4395
174,0.0455,0.3495,0.4704,0.3432,0.2611,0.1834,0.2731,0.7257,0.0003,0.0002,0.088,0.2747,2.2684,2.3173,8.5972,1.1553,12.2761
175,0.0457,0.3505,0.4758,0.3188,0.2603,0.2233,0.2754,0.7665,0.0002,0.0001,0.0849,0.2787,2.2937,2.3425,8.6891,1.1686,12.4024
176,0.0464,0.2877,0.4511,0.3217,0.2477,0.1789,0.2677,0.7028,0.0002,0.0002,0.0761,0.2883,2.1501,2.201,13.5996,1.1632,17.1613
177,0.0464,0.3717,0.4945,0.336,0.2573,0.1761,0.2755,0.7169,0.0003,0.0002,0.0815,0.282,2.3032,2.353,9.0076,1.1509,12.7165
178,0.0458,0.308,0.483,0.3314,0.2575,0.1887,0.2726,0.7291,0.0002,0.0002,0.0707,0.2734,2.2119,2.2609,8.5698,1.2153,12.2486
179,0.0453,0.3634,0.484,0.3506,0.2533,0.1863,0.2854,0.7332,0.0002,0.0002,0.069,0.2939,2.3094,2.358,8.5792,1.1454,12.2895
180,0.0463,0.4168,0.4792,0.3385,0.2582,0.1855,0.2784,0.7303,0.0002,0.0001,0.0853,0.2791,2.3478,2.3973,8.5962,1.1547,12.3532
181,0.046,0.3496,0.4859,0.3407,0.2586,0.2235,0.2741,0.7652,0.0003,0.0002,0.0861,0.2721,2.3141,2.3632,8.6533,1.1567,12.3763
182,0.0455,0.3539,0.4894,0.3405,0.2622,0.1876,0.2766,0.7345,0.0002,0.0001,0.0875,0.2719,2.2946,2.3434,8.5674,1.1524,12.2671
