,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
225,5.7789,35.3499,4.7805,46.4191
226,5.8006,35.8715,4.9065,47.0876
227,5.8212,35.4292,4.7951,46.5537
228,5.8392,35.3325,4.6698,46.345
229,5.788,35.2095,4.6642,46.1644
230,5.7505,35.5907,4.8138,46.6626
231,5.7659,35.1814,4.6887,46.1361
232,6.0771,35.4192,4.6653,46.6371
233,5.7877,35.3779,4.7836,46.4562
234,5.7785,35.4603,4.7793,46.526
235,5.7236,35.5174,4.7673,46.508
236,5.7819,35.1988,4.6878,46.1734
237,5.8158,35.3281,4.8112,46.4592
238,5.7771,35.3476,4.7396,46.3684
239,5.7562,35.062,4.639,45.9617
240,7.0849,35.685,4.6373,47.9193
241,5.7625,35.091,4.7922,46.147
242,5.8365,34.7025,4.6394,45.6725
243,5.7185,34.9272,4.7596,45.9084
244,5.8014,34.9918,4.735,46.0321
245,7.3406,35.143,4.7709,47.7518
246,5.7621,34.858,4.6291,45.7529
247,5.7537,35.3439,4.6266,46.228
248,8.8926,35.0475,4.6266,49.0375
249,6.3351,34.8625,4.6131,46.3107
250,5.765,35.6375,4.7449,46.648
251,5.8487,35.5531,4.6376,46.5429
252,5.8014,35.1691,4.7327,46.2041
253,5.7045,34.5499,4.7473,45.512
254,5.7133,35.2444,4.5859,46.0486
255,5.7544,34.9187,4.7191,45.9022
256,8.939,34.8808,4.7131,49.0088
257,5.7568,34.8846,4.6107,45.7671
258,5.7756,34.7939,4.5825,45.6641
259,8.7968,35.1015,4.7288,49.1332
260,5.734,34.5573,4.585,45.3781
261,5.7341,34.6409,4.5772,45.4566
262,5.7542,34.6076,4.5855,45.4498
263,5.7537,34.7955,4.7308,45.7778
264,8.9861,34.7723,4.5684,48.8196
265,5.7766,34.938,4.6918,45.9047
266,5.7588,34.8873,4.565,45.7205
267,5.7557,34.7209,4.582,45.5682
268,5.7713,35.0124,4.6125,45.8981
269,5.7759,35.0633,4.609,45.9529
270,5.7873,34.747,4.7169,45.7584
271,5.7669,34.9092,4.693,45.8469
272,8.9472,34.4871,4.5748,48.5137
273,5.7871,34.5046,4.5764,45.3738
274,5.7768,34.7903,4.7204,45.7891
275,5.8598,34.5074,4.5383,45.4037
276,5.7456,34.8685,4.69,45.8003
277,5.7558,34.6801,4.6768,45.6156
278,5.714,34.7708,4.5441,45.5331
279,5.7229,34.56,4.6786,45.4679
280,9.2894,34.5762,4.5403,48.9147
281,5.8253,34.3561,4.7182,45.401
282,5.7481,34.2768,4.6842,45.2039
283,5.7733,34.6318,4.7088,45.6136
284,5.7618,34.17,4.7151,45.1465
285,5.7621,34.2501,4.6925,45.2075
286,5.7144,34.1296,4.5112,44.8665
287,5.7037,34.6727,4.6765,45.5535
288,8.8772,34.3178,4.6769,48.3399
289,6.1784,34.4777,4.5059,45.6671
290,5.7481,34.8757,4.7011,45.8261
291,5.7614,34.4593,4.6787,45.3774
292,5.7619,34.4472,4.52,45.229
293,5.779,33.8687,4.5346,44.6838
294,5.7996,34.0829,4.67,45.0552
295,5.6911,34.3003,4.5181,45.0106
296,9.3568,34.0969,4.4888,48.4435
297,5.8243,34.15,4.6661,45.1429
298,5.7634,33.9752,4.5194,44.7601
299,5.7645,34.2761,4.4904,45.0326
300,5.7379,34.1587,4.4921,44.8912
301,6.2494,34.2908,4.7196,45.7609
302,5.8504,34.2195,4.4935,45.0686
303,5.7549,33.7738,4.4774,44.5048
304,9.035,34.4255,4.4893,48.4669
305,5.8192,34.227,4.6553,45.2079
306,5.7346,33.8367,4.4865,44.5635
307,5.744,34.4377,4.4864,45.18
308,5.7733,34.1239,4.4811,44.8788
309,5.76,34.55,4.681,45.4942
310,5.7966,34.7836,4.477,45.5535
311,5.7949,34.2938,4.667,45.2593
312,8.9846,33.6326,4.4585,47.5753
313,5.7388,33.8806,4.4691,44.5914
314,5.7412,34.1143,4.6529,45.0144
315,5.7643,34.1828,4.4597,44.9077
316,5.7639,33.8597,4.5909,44.7372
317,5.7298,33.837,4.6255,44.6918
318,5.7588,34.0721,4.6322,44.9508
319,5.7595,33.7275,4.661,44.6505
320,8.9386,34.3948,4.4628,48.2749
321,5.7574,34.3948,4.6355,45.2927
322,5.7994,33.7108,4.4519,44.4699
323,5.7749,33.7654,4.4483,44.4942
324,5.7735,33.8366,4.449,44.5624
325,5.7589,33.7964,4.4317,44.4893
326,5.7698,33.7245,4.4237,44.419
327,5.7479,33.4481,4.4406,44.1377
328,9.0409,33.695,4.6303,47.8442
329,5.7052,34.2397,4.401,44.8523
330,5.6964,34.5763,4.6421,45.412
331,5.7464,34.3326,4.6181,45.2022
332,5.7949,34.2689,4.6093,45.1756
333,5.7192,34.3154,4.6458,45.1807
334,8.552,34.2128,4.3865,47.6513
335,8.9111,33.5911,4.3791,47.3887
336,9.2497,34.2321,4.3887,48.344
337,5.7588,33.5329,4.4056,44.1998
338,5.7498,34.3155,4.6156,45.1851
339,6.9216,34.3443,4.6247,46.3983
340,7.3591,33.8322,4.6289,46.323
341,5.6769,33.7228,4.4024,44.303
342,5.6984,33.2614,4.6003,44.0616
343,5.661,34.4262,4.3891,44.9719
344,8.2202,33.5725,4.3806,46.6574
345,5.7444,33.7387,4.5961,44.5822
346,5.741,33.067,4.6123,43.922
347,5.7388,34.0179,4.3531,44.6156
348,5.7544,33.95,4.5475,44.7603
349,5.7193,33.9131,4.3685,44.5021
350,5.7626,33.4078,4.3816,44.0534
351,5.809,34.2893,4.6359,45.2382
352,5.8874,33.5622,4.332,44.2631
353,5.7763,33.6592,4.3666,44.3033
354,5.759,33.8392,4.5818,44.6803
355,5.75,33.6112,4.3425,44.2088
356,5.7638,33.9328,4.352,44.5488
357,5.6937,33.6718,4.3461,44.2146
358,5.6901,33.8853,4.5431,44.6215
359,5.7634,33.6546,4.3673,44.2942
360,9.5454,33.6336,4.3583,48.0108
361,5.73,33.7663,4.3235,44.3222
362,7.3404,33.3001,4.5523,45.6946
363,6.8556,32.6328,4.3131,44.3059
364,5.7026,33.1833,4.3306,43.7222
365,5.7106,33.7453,4.3351,44.298
366,5.7082,34.0485,4.5568,44.8165
367,5.7802,33.6983,4.5549,44.5328
368,8.7277,33.6275,4.534,47.3681
369,5.749,33.5329,4.3259,44.1165
370,5.7643,32.351,4.5383,43.1574
371,5.6868,33.123,4.5305,43.8469
372,5.7391,33.4005,4.5791,44.2219
373,5.7536,33.8944,4.2797,44.428
374,8.9232,34.0939,4.322,47.8412
375,5.7197,32.8091,4.3779,43.4138
376,6.44,33.8433,4.5667,45.3317
377,5.8032,32.7017,4.5324,43.5412
378,5.713,33.0994,4.5543,43.8727
379,5.6795,33.9446,4.3063,44.4309
380,5.7491,32.9756,4.2903,43.5149
381,5.7555,32.376,4.3158,42.9495
382,5.7381,33.6662,4.547,44.453
383,5.6643,33.0009,4.5484,43.7158
384,8.7675,33.4702,4.5198,47.2445
385,5.8182,32.7812,4.531,43.6314
386,5.6582,33.4028,4.541,44.105
387,5.6931,33.6405,4.5067,44.3416
388,5.7704,33.1873,4.2963,43.7601
389,5.704,33.3149,4.5396,44.0624
390,5.692,33.2972,4.5225,44.015
391,5.7683,33.2199,4.3008,43.7923
392,6.6617,32.6753,4.619,44.4475
393,8.2765,32.6748,4.5222,45.9752
394,6.3662,33.5825,4.5281,44.9852
395,5.7216,33.1782,4.5295,43.9345
396,5.6849,32.2923,4.5139,43.001
397,5.7287,32.9143,4.2792,43.4281
398,5.731,33.5334,4.5512,44.3229
399,5.7362,33.5072,4.2659,44.0168
400,6.8146,33.5606,4.5184,45.4097
401,5.7018,33.5149,4.4944,44.2184
402,5.7224,33.4777,4.5154,44.2169
403,5.7109,33.5542,4.5106,44.2781
404,5.809,33.1663,4.2574,43.733
405,5.738,33.0348,4.2854,43.5603
406,8.644,33.7349,4.2586,47.1407
407,5.7473,33.4217,4.2531,43.9252
408,8.8967,34.8635,4.5245,48.7621
409,5.7855,33.4981,4.5021,44.2907
410,5.7451,33.2168,4.2703,43.7349
411,5.7526,33.0846,4.2475,43.5875
412,5.7547,32.6589,4.4891,43.409
413,6.055,33.0927,4.5144,44.1609
414,5.7141,33.1422,4.5016,43.86
415,5.8576,33.1289,4.2452,43.736
416,6.246,33.1216,4.2715,44.1467
417,5.8103,32.4459,4.499,43.2651
418,6.1531,33.7506,4.2855,44.6964
419,5.6935,33.0614,4.2571,43.5158
420,5.752,33.3732,4.5541,44.1831
421,5.7532,33.0698,4.2752,43.6
422,5.706,32.083,4.4597,42.7557
423,5.731,33.1942,4.4795,43.907
424,8.8756,32.9965,4.4963,46.8492
425,5.7466,33.3779,4.4747,44.1083
426,5.763,33.3025,4.2632,43.8336
427,5.7558,33.3602,4.2482,43.8699
428,5.7218,32.645,4.4848,43.3456
429,5.7444,33.4751,4.3237,44.0471
430,5.7114,33.6725,4.4841,44.3777
431,5.7506,32.2186,4.4772,42.9417
432,9.3477,32.8015,4.4806,47.135
433,6.1066,32.8923,4.4385,43.9325
434,5.7387,33.1368,4.4411,43.82
435,6.9313,33.4311,4.2201,45.0827
436,5.6933,32.6001,4.2048,43.0065
437,5.7439,32.6981,4.2201,43.1663
438,5.7711,32.8191,4.4393,43.5339
439,5.7682,33.1488,4.4758,43.8961
440,9.073,32.3048,4.2186,46.0381
441,5.7945,32.9779,4.4367,43.7142
442,5.7167,32.511,4.4299,43.1648
443,5.7595,32.7668,4.4333,43.4612
444,5.7297,32.9404,4.4781,43.6646
445,5.7209,32.945,4.4407,43.6061
446,5.686,32.3933,4.2004,42.787
447,5.7056,32.4389,4.4384,43.0879
448,9.3982,32.9438,4.4508,47.2993
449,5.773,32.5635,4.4621,43.2993
450,5.7696,32.9603,4.1983,43.4399
451,5.7461,32.5537,4.1971,43.0033
452,5.8042,32.2794,4.41,43.0004
453,5.7227,32.1985,4.4025,42.8236
454,5.7027,32.5311,4.3937,43.127
455,5.751,32.1606,4.183,42.5961
456,8.8422,33.5763,4.2117,47.1114
457,5.851,31.7907,4.419,42.5651
