,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
166,0.0194,0.3121,0.2891,0.2984,0.2016,0.1748,0.2161,0.597,0.0002,0.0002,0.0778,0.1841,1.7691,1.791,2.5207,0.3393,4.7158
167,0.0199,0.2937,0.2838,0.3046,0.2116,0.1717,0.2137,0.6019,0.0002,0.0001,0.0782,0.1739,1.7475,1.7698,2.5235,0.3423,4.7001
168,0.0237,0.1518,0.2918,0.3095,0.1996,0.224,0.2045,0.634,0.0003,0.0001,0.074,0.1816,1.6751,1.7032,2.9764,0.3388,5.092
169,0.021,0.3154,0.2985,0.3183,0.2087,0.1819,0.2186,0.6145,0.0003,0.0002,0.0657,0.1757,1.804,1.8278,3.9878,0.3419,6.2241
170,0.0202,0.2998,0.3066,0.317,0.2032,0.2226,0.2132,0.6446,0.0002,0.0001,0.0762,0.1772,1.8391,1.8621,2.528,0.3515,4.8067
171,0.0198,0.3053,0.2869,0.3117,0.2055,0.1711,0.211,0.5921,0.0002,0.0002,0.0653,0.1648,1.7382,1.7608,2.5327,0.3448,4.7025
172,0.0199,0.2952,0.2832,0.302,0.2043,0.1703,0.2155,0.5955,0.0002,0.0001,0.0704,0.1734,1.7301,1.7526,2.5269,0.3373,4.6817
173,0.0201,0.2986,0.2865,0.3106,0.2085,0.2055,0.2139,0.6343,0.0002,0.0002,0.0678,0.172,1.78,1.8028,2.5276,0.3355,4.7319
174,0.0195,0.2999,0.2929,0.3182,0.2137,0.1896,0.2127,0.6242,0.0003,0.0001,0.0728,0.1744,1.8035,1.8257,2.5552,0.3408,4.7872
175,0.0194,0.2963,0.3014,0.3106,0.213,0.1756,0.2136,0.6078,0.0002,0.0001,0.0686,0.1776,1.7744,1.7966,2.5189,0.3335,4.7137
176,0.0206,0.2434,0.2856,0.3288,0.2216,0.1682,0.2008,0.595,0.0002,0.0001,0.0769,0.1696,1.715,1.7403,3.2365,0.3358,5.3842
177,0.0207,0.3017,0.2829,0.3219,0.2107,0.1765,0.2134,0.606,0.0002,0.0001,0.0718,0.1881,1.7859,1.8092,3.2015,0.3404,5.423
178,0.021,0.301,0.2841,0.3133,0.2046,0.1761,0.2164,0.6033,0.0002,0.0001,0.0779,0.1842,1.7754,1.7994,3.0553,0.3365,5.2583
