,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
212,0.0191,0.2742,0.3122,0.2146,0.1761,0.2142,0.611,0.0002,0.0002,0.0667,0.1714,1.4478,1.4694,2.469,0.3268,4.3363
213,0.0196,0.2717,0.3213,0.2048,0.1715,0.2144,0.5946,0.0002,0.0002,0.0704,0.1803,1.4526,1.4751,2.508,0.3312,4.3854
214,0.0208,0.2843,0.3318,0.2199,0.243,0.2158,0.6898,0.0002,0.0002,0.0727,0.1798,1.5759,1.5997,3.5183,0.3277,5.5201
215,0.0183,0.305,0.3428,0.2083,0.2286,0.2232,0.6683,0.0002,0.0001,0.0727,0.1846,1.5879,1.609,2.5172,0.3256,4.5232
216,0.0206,0.2636,0.3573,0.2003,0.1837,0.2144,0.6072,0.0003,0.0001,0.0728,0.1722,1.4891,1.5139,4.1583,0.5366,6.284
217,0.0189,0.2837,0.3691,0.2141,0.2209,0.2129,0.6516,0.0002,0.0001,0.074,0.1695,1.5639,1.5855,2.5776,0.3504,4.5886
218,0.0188,0.2859,0.329,0.2031,0.2182,0.211,0.6356,0.0002,0.0002,0.0738,0.1627,1.495,1.5167,2.4801,0.3234,4.3903
219,0.0197,0.2666,0.3012,0.2027,0.1614,0.2106,0.5776,0.0002,0.0001,0.0625,0.1728,1.3875,1.4095,2.5055,0.3237,4.3093
220,0.0194,0.28,0.3147,0.2041,0.2134,0.2134,0.634,0.0002,0.0001,0.0713,0.1813,1.4903,1.5122,2.4995,0.3265,4.409
221,0.02,0.2751,0.3018,0.2126,0.2153,0.2123,0.6431,0.0001,0.0002,0.082,0.1709,1.48,1.5023,2.4991,0.3276,4.3998
222,0.0196,0.2779,0.3041,0.2068,0.2131,0.2106,0.6332,0.0002,0.0002,0.074,0.1687,1.4644,1.4862,2.4573,0.3207,4.3347
223,0.0197,0.276,0.2793,0.2047,0.1662,0.2189,0.5925,0.0001,0.0001,0.0655,0.1631,1.383,1.405,2.4707,0.3397,4.2865
224,0.0199,0.2081,0.3293,0.1965,0.2158,0.2071,0.6225,0.0002,0.0002,0.0722,0.1587,1.3981,1.4215,3.0048,0.3258,4.8279
225,0.0193,0.2787,0.3259,0.2014,0.1743,0.2142,0.5942,0.0002,0.0002,0.0789,0.178,1.4666,1.489,3.3131,0.3227,5.1974
226,0.0195,0.2825,0.3215,0.2039,0.219,0.2127,0.6385,0.0001,0.0001,0.0548,0.1622,1.4665,1.4883,2.4915,0.3245,4.3768
227,0.0198,0.2656,0.3173,0.2057,0.2093,0.2135,0.6315,0.0002,0.0001,0.0689,0.1796,1.4705,1.4926,2.4852,0.3227,4.3714
228,0.0202,0.2765,0.3013,0.204,0.1696,0.215,0.5921,0.0002,0.0002,0.0667,0.1703,1.4138,1.4364,2.4905,0.3228,4.3207
229,0.0202,0.2691,0.2946,0.2042,0.1696,0.2134,0.5902,0.0001,0.0002,0.0676,0.181,1.4094,1.4317,2.4766,0.322,4.3012
230,0.0206,0.2716,0.3045,0.2087,0.1662,0.2113,0.5892,0.0001,0.0002,0.0655,0.1627,1.4011,1.4241,2.4815,0.3259,4.3023
231,0.0211,0.2675,0.2967,0.2105,0.2151,0.2093,0.6377,0.0001,0.0002,0.0633,0.1712,1.4433,1.4665,2.4825,0.3297,4.3495
232,0.019,0.2529,0.3326,0.1959,0.1741,0.1982,0.5738,0.0002,0.0002,0.058,0.1594,1.3882,1.411,3.1164,0.3232,4.9227
