,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
206,0.0095,0.2226,0.6329,0.0618,0.0024,0.2356,0.0001,0.048,0.1297,0.0002,0.0952,0.2904,0.8807,1.7552,4.6496,0.6,7.1312
207,0.0092,0.238,0.6429,0.0562,0.0024,0.2927,0.0002,0.0474,0.123,0.0002,0.1393,0.273,0.9555,1.856,4.5575,0.6038,7.1392
208,0.0105,0.1892,0.6613,0.0557,0.0025,0.2482,0.0001,0.0492,0.1447,0.0003,0.0985,0.2937,0.9119,1.7852,7.1763,0.8857,9.9844
209,0.0096,0.229,0.6473,0.0527,0.0015,0.2384,0.0001,0.0447,0.1343,0.0002,0.0926,0.2888,0.8669,1.759,7.0011,0.5959,9.4802
210,0.0088,0.2269,0.6377,0.0532,0.0015,0.2801,0.0001,0.044,0.1298,0.0002,0.1412,0.2836,0.9426,1.8223,4.5569,0.5989,7.0994
211,0.0092,0.2127,0.6267,0.0544,0.0016,0.2833,0.0001,0.0431,0.1298,0.0002,0.1345,0.2666,0.9229,1.7779,4.5855,0.6039,7.0898
212,0.0092,0.2228,0.6054,0.0581,0.0014,0.2369,0,0.0431,0.1298,0.0002,0.09,0.2801,0.8491,1.6915,4.5349,0.5947,6.9429
213,0.0088,0.2107,0.599,0.0522,0.0014,0.2287,0,0.0511,0.1226,0.0001,0.0946,0.2695,0.8291,1.6523,4.5533,0.5931,6.9204
214,0.0092,0.2244,0.6022,0.0513,0.0014,0.2799,0,0.042,0.1275,0.0002,0.1384,0.2983,0.9485,1.7892,4.5392,0.5955,7.0453
215,0.0086,0.2128,0.6095,0.0533,0.0015,0.2338,0.0001,0.0428,0.13,0.0001,0.0937,0.2631,0.8272,1.6629,4.7107,0.6001,7.0958
216,0.0093,0.1961,0.6319,0.0529,0.0015,0.2276,0.0001,0.0429,0.1223,0.0002,0.1022,0.2987,0.8649,1.7104,7.0749,0.6021,9.5102
217,0.0088,0.2425,0.6571,0.0569,0.0041,0.2989,0.0001,0.0469,0.1326,0.0002,0.1435,0.2767,0.9803,1.9012,4.5327,0.5935,7.1492
218,0.0101,0.2147,0.64,0.0554,0.0039,0.2465,0.0001,0.0465,0.1361,0.0003,0.0979,0.2848,0.8916,1.7676,4.546,0.596,7.0323
219,0.0097,0.2195,0.6432,0.0514,0.0021,0.2513,0.0002,0.0553,0.1347,0.0003,0.097,0.2831,0.8951,1.7789,4.559,0.5944,7.0545
220,0.0096,0.2172,0.6429,0.0561,0.0032,0.2484,0.0001,0.0478,0.1341,0.0002,0.0963,0.2858,0.8918,1.77,4.5914,0.8007,7.2864
221,0.01,0.2268,0.642,0.0536,0.0022,0.294,0.0002,0.0505,0.1384,0.0002,0.1411,0.2868,0.9865,1.8758,4.5781,0.5947,7.1734
222,0.0098,0.2254,0.6357,0.059,0.0035,0.2555,0.0001,0.0505,0.1338,0.0002,0.0932,0.2846,0.8978,1.7791,4.5829,0.5987,7.0837
223,0.0099,0.2243,0.6507,0.0595,0.002,0.2467,0.0002,0.0484,0.1328,0.0002,0.0989,0.2909,0.8993,1.7961,4.5705,0.5934,7.086
224,0.0116,0.0988,0.6903,0.0574,0.0028,0.3007,0.0002,0.0481,0.1243,0.0002,0.1506,0.2994,1.0045,1.814,8.0172,1.0465,11.016
225,0.0093,0.2915,0.6811,0.0601,0.0022,0.2528,0.0001,0.0472,0.1346,0.0003,0.0964,0.2748,0.8893,1.8834,4.7859,0.5967,7.3904
226,0.0101,0.2274,0.6334,0.0583,0.0019,0.2965,0.0001,0.0605,0.1342,0.0002,0.1473,0.2857,1.0046,1.8841,4.5522,0.5924,7.1533
227,0.0091,0.2173,0.6501,0.0568,0.0019,0.2918,0.0001,0.0486,0.1364,0.0002,0.1365,0.2804,0.9706,1.8565,5.2688,0.6081,7.8588
228,0.0103,0.2227,0.656,0.0581,0.003,0.242,0.0001,0.0465,0.133,0.0002,0.0934,0.2821,0.871,1.7693,4.6446,0.5978,7.1369
229,0.0096,0.2158,0.6373,0.053,0.0015,0.2313,0.0002,0.0464,0.1318,0.0001,0.0914,0.2651,0.8321,1.7037,4.6802,0.6065,7.1147
230,0.0097,0.2252,0.6438,0.0574,0.002,0.2904,0.0001,0.0479,0.1301,0.0004,0.1404,0.2723,0.96,1.8491,4.7161,0.605,7.2959
231,0.0102,0.228,0.6605,0.0586,0.0034,0.2484,0.0001,0.0464,0.1338,0.0003,0.098,0.2892,0.8997,1.8092,4.5994,0.6055,7.1424
232,0.0113,0.1979,0.6652,0.065,0.0024,0.295,0.0002,0.0484,0.1274,0.0002,0.1413,0.3002,1.0054,1.8932,5.3375,0.6067,7.9775
233,0.01,0.2359,0.6673,0.0551,0.0023,0.2441,0.0001,0.0482,0.1316,0.0003,0.1038,0.295,0.8996,1.822,4.6247,0.6003,7.1833
234,0.0101,0.1921,0.651,0.0602,0.0026,0.2478,0.0001,0.049,0.1394,0.0002,0.1057,0.2793,0.9014,1.7647,4.5894,0.5945,7.0762
235,0.0094,0.2239,0.6179,0.055,0.0033,0.2978,0.0001,0.0531,0.126,0.0002,0.1442,0.2832,0.9953,1.8565,4.6154,0.5967,7.1913
236,0.0096,0.2221,0.7034,0.0539,0.0016,0.2416,0.0001,0.0442,0.1302,0.0002,0.0916,0.2956,0.8732,1.8178,5.0217,0.5968,7.558
237,0.0096,0.228,0.6252,0.055,0.0016,0.2395,0,0.0428,0.1299,0.0002,0.0922,0.275,0.8454,1.7143,4.5827,0.6019,7.0232
238,0.0097,0.2096,0.6047,0.0517,0.0014,0.28,0,0.0427,0.1317,0.0002,0.1414,0.2647,0.9229,1.7524,4.6063,0.6038,7.0842
239,0.0097,0.2181,0.643,0.056,0.0041,0.248,0.0001,0.0461,0.1324,0.0002,0.0948,0.2815,0.8835,1.7665,4.5916,0.6,7.0805
240,0.0106,0.0961,0.6786,0.056,0.0027,0.2419,0.0001,0.0503,0.1213,0.0002,0.094,0.2873,0.8739,1.6717,5.6418,0.6059,8.0563
241,0.0106,0.2281,0.6669,0.0591,0.0024,0.253,0.0001,0.0502,0.1324,0.0002,0.0983,0.2822,0.8973,1.812,4.6882,0.5988,7.231
242,0.0096,0.2241,0.667,0.0592,0.0028,0.2894,0.0001,0.0494,0.1316,0.0002,0.1455,0.2958,0.9937,1.9041,8.0861,0.5962,10.7156
