,Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Run hipNSearch,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
226,1.4301,2.4893,1.1243,9.5729,0.2168,5.9494,15.7493,0.0002,0.0002,0.3251,7.2683,26.9784,28.4184,625.412,98.3625,768.141
227,1.441,2.2314,0.8709,8.9016,0.2291,5.9252,15.0665,0.0003,0.0002,0.3216,7.2758,25.7916,27.2469,623.97,98.6428,765.958
228,1.4205,2.4599,0.8537,9.7992,0.2312,7.4711,17.5118,0.0002,0.0002,0.3159,7.2711,28.4345,29.8637,626.408,98.2685,770.763
229,1.4172,2.2376,0.8265,9.828,0.2398,7.4557,17.5353,0.0002,0.0002,0.3249,7.276,28.2184,29.6458,631.407,98.5533,775.59
230,1.4198,2.5826,1.1299,9.5398,0.2266,5.9923,15.7699,0.0003,0.0001,0.314,7.2761,27.0938,28.5265,625.802,98.44,768.697
231,1.4369,2.1121,0.7963,9.1991,0.2176,5.9513,15.3793,0.0003,0.0002,0.3221,7.2716,25.9029,27.3487,625.698,98.5521,767.703
232,1.2891,1.8109,1.0618,8.9892,0.2248,6.3072,15.5243,0.0002,0.0001,0.3339,7.2832,26.0223,27.3207,626.804,98.1943,766.419
233,1.4115,2.093,0.8288,9.7324,0.2179,7.4046,17.3605,0.0002,0.0001,0.313,7.2716,27.8874,29.3087,624.491,101.798,771.539
234,1.4105,2.3135,1.1425,8.797,0.2103,6.3891,15.4021,0.0002,0.0003,0.3469,7.2696,26.4915,27.9114,625.198,98.5392,767.589
235,1.4165,2.3896,0.8454,9.8473,0.223,7.4806,17.5638,0.0003,0.0002,0.325,7.2758,28.4235,29.8502,626.026,99.8888,771.77
236,1.4183,2.2562,0.8223,10.0418,0.2218,7.5334,17.8067,0.0002,0.0002,0.3119,7.2732,28.4928,29.92,631.414,99.955,777.224
237,1.4173,2.3506,1.4116,8.9604,0.2169,6.3829,15.5709,0.0002,0.0002,0.3155,7.2762,26.9482,28.375,630.084,98.6225,773.019
238,1.4223,2.1915,0.7854,9.1896,0.2224,5.9603,15.3823,0.0003,0.0002,0.3133,7.2795,25.9753,27.4071,624.869,98.5154,766.662
239,1.4278,2.156,0.8423,9.858,0.2242,7.504,17.5958,0.0003,0.0002,0.3178,7.2735,28.2052,29.6431,629.227,98.5072,773.341
240,1.2695,1.7292,1.2854,9.6291,0.151,5.8457,15.6337,0.0003,0.0001,0.373,7.3479,26.3796,27.6586,623.777,97.987,763.267
241,1.4206,2.0122,0.7886,8.9431,0.1863,5.7069,14.8406,0.0002,0.0002,0.3021,7.283,25.2461,26.6797,623.982,98.49,765.123
242,1.4213,2.2514,0.8402,9.9867,0.1632,7.4825,17.6366,0.0002,0.0001,0.3132,7.27,28.3275,29.7582,628.888,98.7317,773.345
243,1.4349,2.1941,1.1585,9.1163,0.2088,6.424,15.7535,0.0003,0.0003,0.3114,7.2764,26.7149,28.159,630.259,98.6925,773.181
244,1.4116,2.1522,0.882,9.8579,0.226,7.4695,17.5652,0.0003,0.0001,0.4,7.2781,28.2985,29.7199,626.179,98.5483,770.364
245,1.422,2.2419,1.183,8.9742,0.2329,6.3974,15.6127,0.0002,0.0002,0.3136,7.2757,26.652,28.0828,624.151,98.4366,766.635
246,1.421,2.3512,0.8762,9.9176,0.229,7.5386,17.6951,0.0003,0.0002,0.3255,7.277,28.547,29.9772,622.967,99.0457,767.929
247,1.4226,2.1549,0.8785,9.8618,0.2229,7.5077,17.6036,0.0003,0.0002,0.3249,7.2753,28.2569,29.6891,629.322,98.7508,773.637
248,1.2794,1.6808,1.4234,9.1601,0.2025,5.8601,15.2281,0.0003,0.0002,0.3439,7.2849,25.9736,27.2626,621.613,98.6739,761.581
249,1.4318,2.2724,0.8805,9.8673,0.2352,7.5136,17.6271,0.0002,0.0003,0.324,7.2782,28.4031,29.8444,622.824,98.1933,766.767
250,1.5233,2.3456,1.1733,9.0946,0.2225,6.4319,15.7595,0.0003,0.0002,0.3139,7.2856,26.9009,28.4342,627.315,98.9236,770.776
251,1.4268,2.1721,0.8369,8.856,0.1767,5.9733,15.013,0.0003,0.0002,0.3134,7.273,25.6301,27.0709,629.363,98.5077,771.026
252,1.4182,2.1842,0.8717,9.8871,0.229,7.4856,17.6113,0.0003,0.0002,0.3147,7.2843,28.2903,29.7181,624.332,98.7014,769.136
253,1.4329,2.1819,0.8577,9.8935,0.1815,7.5152,17.6002,0.0003,0.0002,0.3157,7.2851,28.2643,29.7069,623.047,98.7315,767.523
254,1.448,2.3196,1.1389,8.9829,0.2071,6.4606,15.6558,0.0002,0.0002,0.3446,7.281,26.7628,28.2206,627.925,98.6551,770.702
255,1.4297,2.1243,0.8899,8.8963,0.2193,6.0063,15.1322,0.0003,0.0002,0.325,7.2855,25.779,27.2187,629.259,98.5242,770.938
256,1.2792,1.7522,1.303,8.8597,0.2488,6.3648,15.4832,0.0002,0.0001,0.364,7.3442,26.2563,27.5455,621.026,98.1252,760.692
257,1.4238,2.2334,0.7937,9.4758,0.1983,5.7869,15.4729,0.0003,0.0001,0.3135,7.2727,26.1071,27.5513,628.581,98.7769,770.798
258,1.4398,2.3058,0.8665,10.105,0.2176,7.5323,17.8611,0.0002,0.0001,0.3161,7.318,28.6889,30.1388,629.273,98.4428,773.891
259,1.4318,2.5394,1.1312,9.7343,0.2095,6.0843,16.0323,0.0002,0.0002,0.3115,7.2784,27.3113,28.7524,627.361,98.7943,770.963
260,1.4514,2.1927,0.8795,9.9031,0.2305,7.5534,17.696,0.0003,0.0002,0.3167,7.282,28.3889,29.8502,624.673,99.1356,769.819
261,1.4242,2.2808,1.1835,8.874,0.2255,6.4778,15.5871,0.0002,0.0001,0.3239,7.3332,26.73,28.1632,627.534,98.9598,770.676
262,1.4318,2.1783,0.8734,9.826,0.2273,7.4648,17.53,0.0003,0.0002,0.324,7.2845,28.2134,29.6552,627.299,99.0451,772.051
263,1.429,2.2077,0.9087,9.9239,0.2088,7.5497,17.69,0.0003,0.0001,0.3207,7.2809,28.4217,29.8653,627.983,99.6017,773.57
264,1.2879,1.7889,1.3183,9.5843,0.2247,6.4467,16.2589,0.0002,0.0001,0.3737,7.295,27.0432,28.341,623.293,99.9983,765.821
265,1.4193,2.2435,0.8725,10.036,0.2344,7.5902,17.8705,0.0002,0.0001,0.318,7.2868,28.6171,30.0453,628.562,98.753,773.405
266,1.4287,2.2513,0.876,10.1126,0.2833,7.59,17.9947,0.0002,0.0002,0.3107,7.2812,28.7373,30.1769,628.158,99.0706,773.394
267,1.414,2.3795,1.2465,9.5988,0.2192,6.0672,15.8947,0.0003,0.0002,0.3225,7.2854,27.1508,28.5744,624.662,99.1801,768.253
268,1.4272,2.1802,0.842,8.9981,0.2158,6.035,15.2582,0.0002,0.0001,0.3132,7.2817,25.9,27.3377,625.656,98.7994,767.809
269,1.4194,2.2679,0.8672,10.1495,0.2256,7.6157,18.0022,0.0002,0.0001,0.3121,7.287,28.7569,30.1862,630.512,98.7633,775.344
270,1.428,2.2212,0.8772,10.1654,0.2211,7.576,17.9706,0.0002,0.0002,0.3145,7.2875,28.7846,30.2228,629.254,99.0451,774.506
271,1.4142,2.4013,1.4019,8.9748,0.2252,6.458,15.6693,0.0003,0.0002,0.323,7.3052,27.122,28.5457,627.909,98.935,771.359
272,1.288,1.8,1.0883,9.6164,0.2217,5.9988,15.8399,0.0002,0.0001,0.3496,7.3026,26.3895,27.6882,624.106,99.0961,764.985
273,1.4034,2.285,0.8783,10.1912,0.2333,7.6269,18.0618,0.0002,0.0002,0.3226,7.2874,28.8556,30.2671,635.776,99.597,781.504
274,1.4355,2.6078,1.139,9.7717,0.2224,6.0633,16.069,0.0003,0.0002,0.3143,7.2909,27.4388,28.8849,625.835,98.8846,769.583
275,1.4378,2.2182,0.8854,9.9285,0.2219,7.5333,17.6962,0.0003,0.0002,0.3231,7.2875,28.4299,29.8772,626.081,99.1478,771.136
276,1.4111,2.1082,0.8717,9.987,0.2375,7.5103,17.7417,0.0002,0.0002,0.3127,7.2873,28.3409,29.761,629.165,98.9557,773.911
277,1.4452,2.444,1.3862,9.161,0.22,6.0492,15.4415,0.0003,0.0002,0.3238,7.3479,26.9645,28.4182,630.067,99.4694,774.137
278,1.4478,2.262,0.8923,10.1322,0.2344,7.594,17.9718,0.0003,0.0002,0.3228,7.2926,28.7617,30.219,631.703,99.0194,777.126
279,1.4428,2.1611,1.1997,8.9832,0.23,6.4853,15.7097,0.0002,0.0002,0.3234,7.3331,26.7454,28.1978,626.207,99.4046,769.965
280,1.2848,1.8088,1.3102,9.0758,0.2246,5.9591,15.2628,0.0001,0.0001,0.3727,7.3084,26.0714,27.3656,624.348,99.5235,765.302
281,1.4166,2.3185,0.8852,10.1067,0.2341,7.6061,17.9601,0.0003,0.0002,0.3145,7.2873,28.7838,30.2102,627.359,99.2581,772.912
282,1.4188,2.2562,1.3611,9.2846,0.2188,6.5192,16.0328,0.0002,0.0002,0.3234,7.291,27.2831,28.7118,626.072,103.461,774.298
283,1.4153,2.2259,0.8812,10.1094,0.2993,7.629,18.0467,0.0002,0.0002,0.3143,7.2935,28.7837,30.2083,626.738,100.913,773.954
284,1.4308,2.1677,0.8698,9.9845,0.2235,7.5309,17.7498,0.0002,0.0001,0.3235,7.2886,28.4193,29.8602,632.295,99.2266,777.426
285,1.4186,2.1361,1.1804,9.8166,0.2184,6.6122,16.6578,0.0002,0.0001,0.3144,7.2905,27.5979,29.0265,628.259,99.219,772.425
286,1.4507,2.2749,0.8117,9.4086,0.219,6.1289,15.7669,0.0002,0.0002,0.3234,7.2961,26.494,27.9544,628.922,99.2391,772.239
287,1.4286,2.3234,0.8611,10.2119,0.1827,7.6062,18.0117,0.0003,0.0002,0.3139,7.2956,28.8253,30.2637,626.005,100.034,772.276
288,1.2636,1.4837,1.1437,8.9949,0.2095,6.4425,15.6525,0.0002,0.0001,0.3518,7.3351,25.979,27.2529,626.687,99.59,767.594
289,1.427,2.3124,0.7932,9.4831,0.1965,6.1245,15.8191,0.0003,0.0002,0.3171,7.2896,26.5554,27.9917,627.385,99.8942,771.61
290,1.4239,2.1681,0.8616,10.1293,0.2432,7.5919,17.9759,0.0003,0.0003,0.3247,7.2938,28.6439,30.0768,625.391,99.3181,770.812
291,1.4113,2.14,0.8413,10.1694,0.1923,7.5774,17.9503,0.0003,0.0002,0.3242,7.2903,28.565,29.9859,626.887,99.2358,772.113
292,1.4233,2.3769,1.1674,9.6939,0.2164,6.123,16.0441,0.0003,0.0002,0.39,7.3094,27.3107,28.7436,629.7,99.1814,773.595
293,1.4376,2.1731,0.8319,9.1059,0.218,6.1087,15.445,0.0003,0.0001,0.3136,7.2905,26.0774,27.5243,646.414,99.3036,789.353
294,1.4225,2.1681,0.8641,9.1112,0.1564,5.8291,15.1022,0.0003,0.0002,0.3121,7.2846,25.7449,27.1778,625.095,99.6136,767.792
295,1.4169,2.2027,0.8465,10.1288,0.222,7.5479,17.9104,0.0004,0.0001,0.3233,7.2914,28.5974,30.0229,625.478,100.688,772.188
296,1.2507,1.5105,1.0929,9.8192,0.1769,6.0438,16.0451,0.0003,0.0002,0.3497,7.3014,26.3123,27.5737,622.047,99.0095,762.576
297,1.4165,2.274,0.8286,9.9365,0.185,7.5097,17.6386,0.0003,0.0001,0.3143,7.2942,28.3703,29.7974,625.402,99.7237,770.99
