,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
244,0.0106,0.2236,0.6363,0.0549,0.0031,0.2963,0.0001,0.0607,0.1366,0.0002,0.2081,0.7784,0.1217,1.7813,4.7743,0.6137,7.2882
245,0.0099,0.2165,0.639,0.0555,0.0031,0.2992,0.0001,0.0711,0.1361,0.0002,0.2254,0.8081,0.1279,1.8113,4.7926,0.6123,7.3346
246,0.01,0.2168,0.6343,0.0523,0.0015,0.2411,0,0.0684,0.1301,0.0002,0.2119,0.7137,0.1228,1.7046,4.7679,0.6094,7.2002
247,0.0101,0.2182,0.6407,0.0526,0.0014,0.273,0.0001,0.0657,0.1298,0.0001,0.2036,0.7341,0.1162,1.7302,4.8328,0.6159,7.2975
248,0.01,0.1943,0.6348,0.0559,0.0015,0.2889,0.0001,0.0624,0.1237,0.0003,0.2013,0.7474,0.1302,1.7252,7.4836,0.6135,9.9437
249,0.01,0.2334,0.6294,0.0555,0.002,0.2421,0.0001,0.0635,0.1342,0.0002,0.2126,0.7233,0.1186,1.7243,5.4947,0.6068,7.9445
250,0.0092,0.2181,0.6226,0.0527,0.0016,0.2353,0.0001,0.0672,0.1306,0.0001,0.2075,0.7029,0.1142,1.6726,4.8003,0.6082,7.199
251,0.009,0.2287,0.6052,0.0534,0.0014,0.2283,0,0.0665,0.1325,0.0001,0.2109,0.701,0.1226,1.6721,4.7623,0.6125,7.1647
252,0.009,0.2201,0.6295,0.0545,0.0014,0.2272,0.0001,0.0664,0.1284,0.0001,0.2091,0.6947,0.1242,1.6829,4.7637,0.6227,7.186
253,0.0091,0.2275,0.5982,0.0525,0.0013,0.239,0,0.0649,0.1289,0.0001,0.2027,0.6969,0.1257,1.6628,4.756,0.613,7.1493
254,0.0089,0.2183,0.6246,0.0524,0.0015,0.234,0,0.067,0.1342,0.0002,0.2183,0.7156,0.1282,1.7021,4.7903,0.6238,7.2398
255,0.009,0.2306,0.6164,0.0525,0.0015,0.232,0.0001,0.0569,0.1303,0.0001,0.2156,0.6975,0.1195,1.6789,4.7543,0.6143,7.1647
256,0.009,0.0869,0.6351,0.0533,0.0015,0.2247,0,0.0711,0.1247,0.0001,0.2307,0.7147,0.1291,1.5835,6.669,0.6128,8.9882
257,0.0093,0.2373,0.6636,0.05,0.0025,0.2477,0.0001,0.0705,0.1352,0.0002,0.2141,0.7378,0.1206,1.7793,5.3268,0.6079,7.839
258,0.0099,0.224,0.6339,0.0551,0.0016,0.2438,0.0001,0.0707,0.1333,0.0001,0.2068,0.7215,0.1285,1.7287,4.8627,0.6193,7.3342
259,0.0101,0.2296,0.6642,0.0591,0.0015,0.242,0,0.0718,0.1306,0.0001,0.2233,0.7379,0.1256,1.7772,4.7867,0.6124,7.2952
260,0.01,0.225,0.6191,0.0519,0.0014,0.2351,0.0001,0.0653,0.131,0.0002,0.2075,0.7011,0.1189,1.6842,4.7369,0.6109,7.1506
261,0.0098,0.2144,0.6385,0.0541,0.0035,0.2499,0.0002,0.0685,0.1324,0.0002,0.2151,0.7413,0.1275,1.7428,4.7449,0.6076,7.2205
262,0.0101,0.233,0.6343,0.0536,0.0029,0.2438,0.0001,0.0706,0.1391,0.0002,0.2226,0.7511,0.1277,1.7667,4.7914,0.6093,7.2902
263,0.0101,0.225,0.6505,0.0515,0.0016,0.2738,0.0001,0.0658,0.1318,0.0002,0.2107,0.744,0.1248,1.7606,4.7568,0.6048,7.2437
264,0.0095,0.1845,0.6326,0.0539,0.0014,0.233,0.0001,0.0733,0.1245,0.0001,0.2121,0.7109,0.121,1.6661,7.8078,0.9483,10.5381
265,0.0102,0.2388,0.6366,0.0584,0.0014,0.2382,0.0001,0.0676,0.1323,0.0002,0.213,0.7194,0.1181,1.7291,7.2066,0.5942,9.6499
266,0.0096,0.2197,0.6474,0.064,0.0022,0.2333,0.0001,0.0769,0.1309,0.0002,0.2134,0.7406,0.1208,1.7499,4.8222,0.607,7.2974
267,0.0102,0.2278,0.6565,0.0542,0.0034,0.2313,0.0002,0.0683,0.1368,0.0002,0.2155,0.728,0.1291,1.7622,4.7567,0.607,7.245
268,0.0098,0.2175,0.6386,0.0548,0.0028,0.2368,0.0001,0.0609,0.133,0.0001,0.2167,0.722,0.132,1.7285,7.8069,0.9497,10.6067
269,0.0099,0.232,0.648,0.0599,0.0019,0.2817,0.0001,0.0708,0.1345,0.0001,0.2269,0.7934,0.1228,1.8149,5.9737,0.9443,8.8561
270,0.0107,0.23,0.6532,0.058,0.0045,0.2373,0.0001,0.0762,0.1401,0.0002,0.2198,0.7946,0.1103,1.8107,8.517,0.8182,11.2688
