,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
321,0.006,0.2175,0.6025,0.0561,0.0018,0.289,0.0002,0.0482,0.1137,0.0002,0.1209,0.2452,0.8934,1.7275,2.3665,0.2849,4.4546
322,0.0061,0.2097,0.5765,0.0539,0.0024,0.2305,0.0001,0.0498,0.1171,0.0002,0.0775,0.2289,0.7804,1.5816,2.3634,0.2831,4.3011
323,0.0061,0.2229,0.5731,0.057,0.007,0.2398,0.0001,0.0482,0.124,0.0001,0.0787,0.2337,0.8076,1.6205,2.8323,0.2771,4.8019
324,0.0059,0.2055,0.5308,0.0512,0.0015,0.2188,0.0001,0.0434,0.1236,0.0002,0.0743,0.2509,0.7746,1.5216,2.2741,0.2791,4.143
325,0.0063,0.2073,0.5426,0.0531,0.0014,0.2643,0,0.045,0.1086,0.0001,0.1215,0.2416,0.8444,1.6059,2.2862,0.2803,4.2402
326,0.0063,0.2061,0.5998,0.0549,0.0027,0.2231,0.0001,0.0482,0.125,0.0002,0.0781,0.2291,0.7713,1.5907,2.3068,0.2764,4.2447
327,0.0062,0.2116,0.5481,0.0525,0.0015,0.2116,0,0.045,0.1045,0.0001,0.0749,0.2308,0.7297,1.5001,2.2553,0.2769,4.1008
328,0.0065,0.1841,0.5946,0.0585,0.0018,0.2808,0.0001,0.046,0.1208,0.0002,0.1146,0.2461,0.8918,1.6869,3.2027,0.3565,5.3202
329,0.0062,0.2221,0.5853,0.0574,0.0018,0.2357,0.0001,0.0476,0.112,0.0002,0.0795,0.2565,0.8104,1.6339,2.3823,0.2812,4.3696
330,0.0061,0.2091,0.5659,0.0561,0.003,0.2769,0.0001,0.0474,0.1082,0.0002,0.1297,0.2332,0.8749,1.6652,2.3796,0.2771,4.3909
331,0.0061,0.2093,0.5729,0.0573,0.0035,0.2788,0.0001,0.0553,0.1128,0.0002,0.1226,0.2341,0.8845,1.683,2.5406,0.278,4.5708
332,0.0061,0.2071,0.5742,0.0542,0.0019,0.2309,0.0001,0.0478,0.1278,0.0002,0.0791,0.2566,0.8185,1.6164,2.2762,0.2742,4.236
333,0.0062,0.2036,0.578,0.0572,0.0021,0.2325,0.0001,0.0471,0.1135,0.0002,0.0793,0.2574,0.8088,1.6053,2.3043,0.2753,4.2547
334,0.0061,0.2045,0.5661,0.0539,0.0029,0.2772,0.0001,0.045,0.1091,0.0002,0.1284,0.2435,0.8788,1.6654,2.2928,0.276,4.3037
335,0.0088,0.2125,0.5925,0.0543,0.0038,0.2847,0.0002,0.0488,0.13,0.0001,0.1294,0.2607,0.9345,1.7603,3.3734,0.488,5.6936
336,0.0067,0.1723,0.574,0.0554,0.0023,0.2933,0.0001,0.048,0.1112,0.0002,0.1258,0.253,0.9082,1.6725,3.9184,0.4337,6.107
337,0.0061,0.2172,0.5923,0.0576,0.005,0.2404,0.0001,0.05,0.1255,0.0003,0.08,0.2453,0.8413,1.6652,3.7858,0.4778,6.0059
338,0.006,0.2207,0.5701,0.0578,0.0025,0.2359,0.0001,0.0467,0.1261,0.0002,0.0755,0.2588,0.8214,1.6269,3.3749,0.2765,5.3544
339,0.0057,0.2074,0.5763,0.0569,0.0034,0.2798,0.0001,0.0473,0.1103,0.0002,0.118,0.2412,0.8771,1.6782,2.3123,0.2738,4.333
340,0.006,0.2067,0.5457,0.0528,0.0015,0.2215,0.0001,0.0435,0.1222,0.0001,0.0747,0.2429,0.7685,1.5336,3.1555,0.4552,5.218
341,0.0063,0.2075,0.5738,0.0544,0.0036,0.2791,0.0001,0.0446,0.1097,0.0002,0.1261,0.2468,0.8778,1.6724,2.878,0.2734,4.8969
342,0.0061,0.2114,0.5512,0.0551,0.0015,0.2629,0,0.0431,0.1074,0.0001,0.1186,0.2286,0.8284,1.6018,2.2814,0.2724,4.2241
