,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,Compute neighbours,Copy sorting indexes to CPU,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
110,0.0344,0.3272,1.0542,0.0553,0.0015,0.2563,0.0001,0.0697,0.2068,0.0001,0.4632,1.0622,0.1513,2.6397,22.1495,2.8536,28.1109
111,0.0277,0.3791,1.0195,0.051,0.0014,0.3055,0,0.0676,0.2075,0.0002,0.4736,1.1147,0.1517,2.6996,22.0057,2.8696,28.0455
112,0.0608,0.226,1.0879,0.0605,0.003,0.3151,0.0001,0.0825,0.2037,0.0002,0.4607,1.1393,0.1519,2.6824,28.111,2.8647,34.1205
113,0.0411,0.2751,1.0265,0.0536,0.0016,0.3148,0,0.0768,0.2042,0.0002,0.4828,1.1452,0.1549,2.654,22.0348,2.8654,28.022
114,0.0393,0.3308,1.0312,0.0602,0.0028,0.2753,0,0.0861,0.2101,0.0001,0.4639,1.1078,0.1413,2.6626,22.074,2.8625,28.0687
115,0.0398,0.319,1.0215,0.0535,0.0015,0.3175,0.0001,0.0778,0.2085,0.0001,0.4616,1.1324,0.1475,2.6703,22.0918,2.8662,28.1035
116,0.0397,0.3258,1.041,0.0536,0.0022,0.3324,0.0001,0.0861,0.2112,0.0002,0.4703,1.1746,0.1439,2.7379,22.1791,2.8784,28.2698
117,0.0385,0.3224,1.0497,0.0538,0.0019,0.3381,0.0001,0.0871,0.2132,0.0002,0.4609,1.173,0.1569,2.7525,22.0861,2.8678,28.1734
118,0.0406,0.3174,1.0555,0.051,0.0041,0.3309,0.0001,0.0765,0.2063,0.0001,0.4728,1.1591,0.1608,2.7463,22.4047,2.8654,28.4812
119,0.0409,0.3213,1.0487,0.064,0.0036,0.2768,0.0001,0.1012,0.216,0.0003,0.4647,1.1461,0.1396,2.7114,22.14,2.8824,28.2095
120,0.0404,0.2364,1.1064,0.0598,0.0024,0.3202,0.0001,0.075,0.2002,0.0001,0.4633,1.1393,0.1562,2.6958,26.705,2.8905,32.7207
121,0.0418,0.3475,1.0582,0.0537,0.0024,0.3368,0.0002,0.0783,0.2067,0.0002,0.4767,1.1734,0.1566,2.7915,22.1388,2.8762,28.2883
122,0.0406,0.3267,1.0687,0.0555,0.0045,0.3261,0.0001,0.0836,0.2121,0.0002,0.4781,1.1775,0.1393,2.7674,22.1489,2.8771,28.2779
123,0.0351,0.3248,1.0197,0.0507,0.0015,0.3159,0.0001,0.0954,0.2162,0.0002,0.4615,1.1621,0.1501,2.7003,22.6314,2.9047,28.7036
124,0.0282,0.323,1.0733,0.0498,0.0016,0.3417,0.0001,0.0906,0.209,0.0002,0.4683,1.1731,0.1436,2.7532,22.3992,2.8824,28.5074
125,0.0387,0.2746,1.0251,0.0516,0.0015,0.3124,0.0001,0.0902,0.2097,0.0001,0.4545,1.1325,0.1471,2.6313,22.33,2.8915,28.3233
126,0.0407,0.3416,1.1081,0.0562,0.0039,0.3304,0.0001,0.102,0.2095,0.0002,0.4516,1.1733,0.1526,2.8311,22.1989,2.8924,28.395
127,0.0421,0.3273,1.0442,0.0535,0.0033,0.3252,0.0001,0.0754,0.2099,0.0001,0.4767,1.1619,0.146,2.7343,22.2305,2.8874,28.3231
128,0.0402,0.233,1.0684,0.0575,0.0022,0.3263,0.0001,0.076,0.2053,0.0002,0.4571,1.1408,0.1507,2.6491,32.6124,2.9072,38.611
