,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
476,0.7428,1.6308,13.1327,0.0643,0.0041,1.0293,0.0002,0.0883,2.7498,0.0002,8.4168,7.6027,19.9805,35.5069,648.151,88.614,785.065
477,0.772,1.599,13.1127,0.0675,0.0041,1.0166,0.0001,0.0912,2.7457,0.0002,8.4885,7.6255,20.0633,35.5685,649.104,88.5598,786.046
478,0.7747,1.6144,13.1116,0.0634,0.0042,1.0833,0.0002,0.0887,2.7569,0.0003,8.4466,7.5991,20.066,35.5865,643.27,88.6018,780.333
479,0.7767,1.8422,14.5023,0.0655,0.005,0.793,0.0001,0.0735,2.7326,0.0002,8.346,7.5969,19.6384,36.7789,642.472,89.2154,781.157
480,0.7968,1.0423,13.4887,0.0662,0.0038,0.7901,0.0003,0.0792,2.7526,0.0001,8.6589,7.6578,20.0178,35.3588,644.53,88.7376,779.371
481,0.7736,1.8054,13.1735,0.0692,0.0045,1.0316,0.0001,0.094,2.7703,0.0002,8.4472,7.6255,20.0681,35.8431,643.663,89.341,781.578
482,0.7822,1.8022,14.1322,0.0548,0.0038,0.7867,0.0001,0.071,2.7459,0.0002,8.4615,7.6018,19.749,36.4832,644.473,88.7818,782.773
483,0.7883,1.6612,12.7176,0.0594,0.0039,0.8102,0.0001,0.0725,2.7496,0.0001,8.5913,7.613,19.9129,35.1019,650.862,88.8754,787.7
484,0.7342,1.5872,12.7762,0.0622,0.0026,0.7765,0.0001,0.1443,2.7349,0.0001,8.2586,7.6073,19.6061,34.7204,650.434,89.731,787.604
485,0.7752,1.5803,13.0298,0.062,0.0024,0.991,0.0001,0.0824,2.7537,0.0001,8.4745,7.5906,19.9691,35.3724,648.174,90.2319,786.582
486,0.7349,1.767,13.0964,0.0715,0.0046,1.0219,0.0001,0.0897,2.7661,0.0003,8.572,7.6214,20.1745,35.7905,643.652,88.9375,781.289
487,0.7549,1.7697,14.2806,0.0542,0.004,0.7982,0.0001,0.0754,2.7515,0.0002,8.3093,7.6113,19.6296,36.4553,651.233,89.0836,789.883
488,0.7862,1.0547,13.592,0.0684,0.0036,0.7426,0.0002,0.075,2.7506,0.0002,8.4928,7.6509,19.7929,35.2387,646.379,88.7248,781.025
489,0.7601,1.5705,13.3274,0.0608,0.0041,1.0715,0.0001,0.0913,2.7541,0.0003,8.3694,7.614,19.9881,35.6642,642.12,88.9734,779.709
490,0.7695,1.7368,14.1994,0.0516,0.0048,0.8029,0.0001,0.0776,2.7553,0.0002,8.487,7.603,19.8068,36.5361,643.991,88.7282,782.101
491,0.7749,1.5947,13.2041,0.0645,0.0029,1.027,0.0002,0.0882,2.763,0.0002,8.3392,7.6025,19.9116,35.504,650.42,88.8199,787.669
492,0.776,1.7712,14.3734,0.0634,0.0052,0.8321,0.0002,0.0759,2.815,0.0002,8.1844,7.5969,19.6006,36.5391,649.614,88.9428,787.86
493,0.7761,1.5988,12.8065,0.0563,0.0024,0.7804,0.0001,0.074,2.7899,0.0002,8.4065,7.5836,19.7075,34.9082,642.892,96.0511,786.432
494,0.7658,1.6178,13.1681,0.0672,0.0026,1.0096,0.0002,0.085,2.7592,0.0005,8.497,7.6019,20.0407,35.6066,643.234,88.8076,780.474
495,0.7735,1.6453,13.0523,0.0598,0.0036,1.0124,0.0001,0.0842,2.7614,0.0004,8.4414,7.5941,19.9748,35.4661,672.795,88.6953,809.802
496,0.7893,1.0562,13.716,0.0715,0.0037,0.7519,0.0001,0.0782,2.7599,0.0002,8.5559,7.6475,19.8775,35.4513,642.837,89.457,778.381
497,0.7594,1.6327,12.6278,0.0615,0.0046,0.788,0.0001,0.0752,2.7686,0.0002,8.215,7.5974,19.5267,34.5655,642.628,89.4907,779.521
498,0.7735,1.6956,13.1335,0.0693,0.0043,1.0717,0.0001,0.0907,2.7632,0.0002,8.5239,7.6058,20.1529,35.7737,649.007,89.2972,786.936
499,0.7755,1.5689,13.0911,0.0771,0.0059,1.0146,0.0001,0.0898,2.7495,0.0002,8.2828,7.6411,19.8875,35.3445,645.818,88.9105,782.897
500,0.7485,1.7586,14.3279,0.0653,0.005,0.7988,0.0003,0.0736,2.75,0.0002,8.5036,7.6225,19.8459,36.7006,647.98,89.638,787.207
501,0.7739,1.6288,13.2327,0.0637,0.0029,1.0189,0.0002,0.088,2.7544,0.0002,8.1892,7.6065,19.7466,35.4031,642.403,89.4292,780.151
502,0.7842,1.8467,14.0247,0.0658,0.0046,0.8481,0.0001,0.0736,2.7469,0.0002,8.3458,7.6382,19.7459,36.4185,644.433,88.8126,782.563
503,0.766,1.8331,13.1695,0.0652,0.0036,1.0289,0.0001,0.0876,2.7681,0.0003,8.3912,7.605,19.9726,35.7603,649.51,89.1668,787.287
