,neighborhood search,constraint projection,XSPH viscosity computation,SimStep
377,2.4295,8.2408,1.037,11.9257
378,2.4267,8.219,1.6882,12.5571
379,2.454,8.3519,1.0631,12.0887
380,3.0805,9.4178,1.0345,13.758
381,2.4061,8.1559,1.0406,11.8218
382,2.4337,8.5046,1.0377,12.1963
383,2.4214,8.1485,1.0383,11.828
384,3.7598,9.2677,1.0332,14.2924
385,2.417,8.1277,1.0349,11.7999
386,2.3994,8.1098,1.0341,11.7637
387,2.4052,9.3448,1.0535,13.025
388,2.4022,8.1008,1.0441,11.7673
389,3.1773,10.4904,1.0402,14.9275
390,2.4174,8.0892,1.0271,11.7543
391,2.4071,8.0944,1.0253,11.7483
392,3.8212,9.2647,1.0309,14.3512
393,2.4172,8.1589,1.0287,11.8282
394,2.4079,8.1352,1.0283,11.7909
395,2.4017,8.1169,1.0335,11.7723
396,2.4031,8.047,1.0298,11.7041
397,2.4046,8.1131,1.0442,11.7838
398,2.4044,8.0679,1.0362,11.7271
399,2.4146,8.045,1.0419,11.7223
400,3.5902,9.8277,1.0304,14.6677
401,2.4066,8.0837,1.0252,11.735
402,2.409,8.1618,1.0475,11.8418
403,2.4039,8.1742,1.1482,11.9435
404,2.4071,8.5058,1.0275,12.1589
405,2.4198,8.0445,1.0304,11.7155
406,2.4652,8.0665,1.0215,11.7783
407,2.4011,8.032,1.0231,11.6733
408,3.7753,11.1849,1.0226,16.2132
409,3.1556,9.1836,1.028,13.5872
410,2.415,9.9889,1.0216,13.6473
411,3.229,10.8877,1.0211,15.3628
412,2.4007,9.8701,1.0219,13.5141
413,2.3962,8.0218,1.0155,11.6516
414,2.3999,8.0607,1.0264,11.7071
415,2.409,8.0314,1.0272,11.6896
416,3.7146,9.2881,1.0219,14.2604
417,2.4259,8.0869,1.0296,11.7701
418,2.4067,8.0201,1.0121,11.6683
419,2.3885,8.1555,1.0249,11.7884
420,2.3947,8.1806,1.0108,11.8068
421,2.3912,8.0618,1.0288,11.7034
422,2.3739,8.0497,1.0161,11.6618
423,2.3828,8.0856,1.0191,11.7128
424,3.4082,10.3668,1.0164,15.0073
425,2.4155,8.0533,1.0255,11.7134
426,2.3942,9.3414,1.4631,13.4207
427,3.3869,8.5601,1.0206,13.1873
428,2.7498,13.2075,1.0133,17.1913
429,2.4097,8.046,1.705,12.3826
430,3.344,8.7699,1.0256,13.3588
431,3.4138,9.0688,1.0143,13.7211
432,3.5385,9.8231,1.0183,14.6007
433,2.3826,8.113,1.0318,11.7533
434,2.3921,8.0533,1.0193,11.6876
435,2.4608,8.0531,1.0135,11.7554
436,2.3846,8.1504,1.0236,11.7793
437,2.3764,8.0062,1.0197,11.621
438,2.3906,8.0679,1.0188,11.6981
439,2.3807,7.9977,1.0106,11.6077
440,3.5755,9.5561,1.0239,14.3908
441,2.3814,8.2122,1.0223,11.8374
442,2.3861,8.0198,1.0195,11.6454
443,2.4007,8.0591,1.0163,11.6952
444,2.3778,9.3742,1.0127,12.9857
445,2.3816,9.9124,1.2205,13.7359
446,2.3561,9.5178,1.7228,13.8182
447,2.369,8.208,1.714,12.5127
448,3.8035,10.6075,1.0089,15.6525
449,2.3889,8.1356,1.0118,11.7575
450,2.394,8.079,1.0111,11.7064
451,2.4016,8.1021,1.0138,11.7391
452,2.355,7.9615,1.006,11.5409
453,2.3801,8.0167,1.0114,11.6298
454,2.3909,8.1195,1.007,11.7374
455,2.3852,8.1361,1.005,11.7458
456,3.393,9.9958,1.0038,14.6135
457,2.3906,8.049,1.0248,11.6881
458,2.4053,8.0338,1.0144,11.6743
459,2.4839,8.0832,1.0032,11.7902
460,2.3704,7.9856,1.0079,11.5851
461,2.3717,8.2138,1.6689,12.4725
462,2.379,8.0082,1.0052,11.6124
463,2.4192,7.9736,1.0021,11.6143
464,3.7008,9.8824,1.001,14.8013
465,2.3572,8.0389,1.0136,11.6344
466,2.404,8.0833,1.0118,11.7183
467,2.4294,7.9958,0.995,11.6417
468,2.3854,8.0618,0.9973,11.6697
469,2.4986,7.9854,1.131,11.8424
470,2.412,7.9024,0.9929,11.5281
471,2.4075,7.9535,0.9957,11.5745
472,3.3846,9.8372,0.9997,14.4408
473,2.3921,8.0121,1.0004,11.6284
474,2.3971,8.0248,0.9958,11.6376
475,2.3895,8.0203,0.9867,11.6187
476,2.3591,8.0173,0.9998,11.601
477,2.3791,7.9726,1.0062,11.5887
478,2.3552,7.9153,0.9964,11.4867
479,2.3871,8.001,1.0072,11.6161
480,3.5292,9.7522,1.0138,14.5145
481,2.3991,8.0019,0.994,11.6166
482,2.4359,7.9583,1.0169,11.6319
483,2.3914,8.0009,1.099,11.7145
484,2.4,7.926,0.9944,11.5406
485,2.4022,7.8741,0.9971,11.4939
486,2.4098,8.3135,1.0001,11.9436
487,2.3527,7.9272,0.9907,11.4904
488,3.5027,10.9301,1.1009,15.7509
489,2.3999,8.0108,0.9919,11.6251
490,2.4753,7.9738,0.9917,11.6624
491,2.3801,7.9589,1.0042,11.5617
492,2.3816,7.8845,0.9895,11.4784
493,2.3723,7.8943,0.9835,11.4725
494,2.3295,7.9122,0.9863,11.4524
495,2.4027,7.8682,0.9796,11.4717
496,3.5894,8.9109,0.983,13.7155
497,2.3694,7.9465,0.9933,11.5338
498,2.3567,8.06,0.9837,11.6208
499,2.3869,7.9327,0.9774,11.5188
