,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours,neighborhood search, constraint projection,XSPH viscosity computation,SimStep
476,0.1263,0.8684,2.5798,0.0561,0.0015,0.368,0,0.0556,0.4572,0.0001,1.1729,1.2608,3.3825,6.9644,72.5364,9.7637,91.0021
477,0.1238,0.8782,2.4306,0.0562,0.0016,0.38,0.0001,0.057,0.4477,0.0002,1.1941,1.2583,3.4066,6.8479,72.4837,9.8351,90.8944
478,0.1246,0.979,2.4379,0.0567,0.0016,0.3794,0.0001,0.063,0.4567,0.0002,1.1781,1.2608,3.4123,6.9651,72.6937,9.7156,91.1164
479,0.1276,0.8548,2.4366,0.0524,0.0031,0.3805,0.0001,0.0587,0.4414,0.0002,1.173,1.27,3.4027,6.8352,85.8733,9.9019,104.345
480,0.0982,0.2781,2.2597,0.06,0.0016,0.3764,0.0001,0.0566,0.4338,0.0001,1.1871,1.2393,3.3702,6.0195,85.9522,9.7354,103.337
481,0.0984,0.9545,2.4565,0.0515,0.0016,0.3729,0.0001,0.0545,0.4452,0.0002,1.16,1.2529,3.352,6.8689,72.3352,9.8004,90.741
482,0.096,0.872,2.4673,0.0537,0.0038,0.4367,0.0001,0.0575,0.4488,0.0002,1.2256,1.254,3.5028,6.9507,72.5094,9.8648,91.0454
483,0.1018,0.8519,2.4554,0.0519,0.0037,0.3915,0.0001,0.0592,0.4453,0.0002,1.1783,1.2527,3.4051,6.8272,72.4897,9.8582,90.9265
484,0.0965,0.8589,2.6585,0.0557,0.0036,0.3958,0.0001,0.0605,0.4449,0.0002,1.1897,1.2518,3.4263,7.0517,72.5481,9.8144,91.1561
485,0.0961,0.9231,2.4459,0.0531,0.0041,0.4365,0.0001,0.0611,0.4626,0.0002,1.2401,1.2617,3.543,7.0216,72.4465,9.8748,91.0958
486,0.095,0.8477,2.4091,0.0531,0.0019,0.3977,0.0001,0.0586,0.4619,0.0003,1.1867,1.2526,3.4335,6.7991,72.6275,9.7357,90.898
487,0.0961,0.888,2.3269,0.0533,0.0017,0.4217,0.0001,0.0582,0.4462,0.0002,1.2132,1.252,3.4613,6.7848,72.6191,9.7735,90.9188
488,0.1032,0.3241,2.2926,0.0569,0.0016,0.4334,0.0002,0.0597,0.4414,0.0003,1.2311,1.2468,3.4969,6.2314,81.1771,9.7539,98.8324
489,0.1025,0.8464,2.2851,0.055,0.0027,0.3955,0.0001,0.0567,0.4568,0.0002,1.1825,1.2828,3.4535,6.7,72.5162,9.7774,90.7395
490,0.0958,0.8045,2.4761,0.056,0.0022,0.4339,0.0002,0.0614,0.4518,0.0003,1.194,1.2565,3.4784,6.8687,72.6976,9.7765,91.0819
491,0.0979,0.8552,2.5453,0.0572,0.0034,0.3851,0.0001,0.0573,0.4495,0.0002,1.1567,1.2637,3.3953,6.9041,72.5373,9.8784,91.0389
492,0.0969,0.7985,2.2629,0.0533,0.0015,0.3792,0.0001,0.0535,0.4565,0.0002,1.142,1.2566,3.3535,6.5246,79.628,14.5499,102.426
493,0.0955,0.8586,2.6465,0.0589,0.0015,0.376,0.0001,0.0551,0.4627,0.0001,1.1849,1.2465,3.3993,7.0068,80.9771,16.4867,106.187
494,0.097,0.8491,2.6045,0.066,0.0017,0.3703,0.0001,0.0552,0.4444,0.0002,1.1402,1.2658,3.3774,6.9376,80.7469,16.2847,105.65
495,0.0956,0.8588,2.686,0.0523,0.0015,0.3685,0.0001,0.0563,0.4583,0.0002,1.155,1.247,3.3502,7.0041,72.5436,9.7198,90.9644
496,0.1236,0.3215,2.3103,0.0542,0.0018,0.3715,0.0001,0.0588,0.4332,0.0002,1.1275,1.2525,3.3162,6.0856,81.9221,9.7487,99.616
497,0.0993,0.8388,2.5441,0.0577,0.0044,0.401,0.0001,0.0589,0.4624,0.0002,1.1867,1.2601,3.4565,6.9488,72.5832,9.7744,91.0184
498,0.0962,0.8643,2.6184,0.0577,0.004,0.3792,0.0001,0.0588,0.4496,0.0001,1.1646,1.2643,3.4018,6.9902,72.2749,9.7937,90.7921
499,0.0952,1.052,2.4465,0.0532,0.0018,0.4419,0.0001,0.0586,0.4635,0.0002,1.2404,1.2567,3.541,7.1457,72.4096,9.7075,90.998
