Unnecessary Copy,copyParticleData,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
1.4245,2.4751,1.1448,6.7436,0.255,4.4391,,11.4474,0.0003,0.0001,0.3269,5.9616,,21.3749,,22.8075,438.915,67.0561,,544.789
1.4454,2.3109,0.8646,6.6051,0.2523,5.5629,,12.4299,0.0002,0.0002,0.3261,5.9952,,21.9502,,23.4049,445.197,67.1583,,552.028
1.2751,1.6077,1.1286,6.8678,0.2662,4.7945,,11.9317,0.0002,0.0001,0.3547,6.1049,,21.1358,,22.4204,436.325,67.0164,,539.337
1.4179,2.3219,0.8487,6.6772,0.2465,5.6478,,12.5794,0.0002,0.0002,0.3119,6.0313,,22.116,,23.5438,441.606,67.4573,,548.449
1.4443,2.2775,1.3584,6.5122,0.2387,4.2087,,10.9646,0.0002,0.0001,0.3116,6.0352,,20.9709,,22.4305,445.512,67.8955,,551.947
1.4106,2.1737,0.8443,6.5766,0.2593,5.4916,,12.3433,0.0003,0.0001,0.3253,6.0544,,21.7602,,23.1791,448.081,68.3042,,555.564
1.4293,2.2503,1.1755,6.7218,0.2683,4.8683,,11.8695,0.0003,0.0002,0.3083,6.075,,21.701,,23.2292,450.9,68.3904,,558.491
1.4231,2.0831,0.862,6.6184,0.2435,5.4822,,12.3525,0.0002,0.0002,0.3186,6.0882,,21.7239,,23.1552,470.167,68.6105,,577.818
1.4206,2.2865,1.1496,6.6905,0.2479,4.3133,,11.262,0.0003,0.0001,0.3191,6.0937,,21.1354,,22.5643,453.615,68.7736,,560.899
1.4267,2.0686,0.8628,6.6561,0.237,5.5881,,12.4872,0.0003,0.0002,0.3183,6.3886,,22.1422,,23.5762,462.92,68.9277,,570.976
1.2566,1.5728,1.1637,7.0809,0.2545,4.1715,,11.5116,0.0002,0.0001,0.3472,6.1318,,20.7393,,22.0081,457.118,69.067,,561.753
1.4193,2.272,0.8306,6.9276,0.233,5.7927,,12.9599,0.0003,0.0002,0.3237,6.1509,,22.5536,,23.981,464.5,69.5208,,573.923
1.4244,2.2849,1.1684,6.7884,0.2441,4.3601,,11.3967,0.0001,0.0002,0.3127,6.1573,,21.3336,,22.7661,466.428,69.9035,,574.99
1.4838,2.0766,0.8542,7.0006,0.2335,5.786,,13.0289,0.0003,0.0001,0.3151,6.1794,,22.4768,,23.9763,468.744,70.2081,,578.861
1.4288,2.6088,1.1887,7.0517,0.3131,4.5831,,11.9592,0.0003,0.0002,0.3148,6.1871,,22.2775,,23.7165,470.077,78.7827,,588.563
1.4272,2.1917,0.8553,6.8387,0.2423,5.6752,,12.7669,0.0006,0.0002,0.3263,6.213,,22.3722,,23.8101,472.258,70.7175,,582.763
1.4306,2.4508,1.1639,7.1089,0.2404,4.4897,,11.8465,0.0002,0.0001,0.3133,6.224,,22.0202,,23.4588,492.607,72.1349,,604.102
1.4239,2.1636,0.8854,6.9017,0.2762,5.6262,,12.814,0.0002,0.0002,0.3167,6.2916,,22.4905,,23.9243,476.522,70.4701,,586.696
1.2827,1.8231,1.1489,7.3922,0.3591,4.77,,12.5246,0.0001,0.0001,0.3577,6.2734,,22.1358,,23.4289,476.433,71.0692,,584.483
1.4219,2.3072,0.8348,6.9091,0.2301,5.6993,,12.8442,0.0004,0.0005,0.3133,6.2676,,22.5783,,24.0097,480.416,71.4143,,591.821
1.4202,2.253,1.1832,7.0234,0.254,4.4871,,11.7742,0.0003,0.0001,0.3269,6.3024,,21.8639,,23.2922,482.586,71.8366,,593.586
1.4413,2.1411,0.8599,7.0364,0.2355,5.7567,,13.04,0.0002,0.0002,0.3142,6.2928,,22.6699,,24.1199,499.837,71.3082,,611.193
1.4278,2.3907,1.2052,7.394,0.2465,4.377,,12.0255,0.0002,0.0001,0.3123,6.2985,,22.2474,,23.6862,488.513,71.5883,,599.753
1.451,2.2541,0.8255,7.1787,0.2313,5.8872,,13.302,0.0005,0.0005,0.3259,6.3215,,23.0404,,24.4991,493.765,72.5044,,606.946
1.4246,2.2428,1.1593,7.17,0.2053,4.5296,,11.9094,0.0002,0.0002,0.305,6.3535,,21.9862,,23.4207,492.171,72.8085,,604.457
1.413,2.14,0.8595,7.1204,0.236,5.8152,,13.1807,0.0002,0.0002,0.3254,6.4062,,22.9384,,24.3614,500.389,73.0155,,613.636
1.2759,1.669,1.4663,7.4662,0.3355,4.0769,,11.8818,0.0004,0.0001,0.353,6.3651,,21.744,,23.0299,492.308,72.9136,,601.786
1.4328,2.1163,0.8222,7.1616,0.2226,5.8117,,13.1997,0.0003,0.0003,0.306,6.3898,,22.8546,,24.2958,506.294,73.4886,,620.259
1.4743,2.3064,1.1742,7.2329,0.2284,4.6862,,12.153,0.0002,0.0005,0.311,6.3864,,22.3503,,23.835,504.542,73.3999,,618.13
1.4295,2.1382,0.858,7.2826,0.262,5.976,,13.5361,0.0003,0.0002,0.3272,6.4081,,23.2891,,24.7263,513.094,73.5526,,627.323
1.4214,2.1915,1.1525,7.561,0.2601,4.8293,,12.6622,0.0002,0.0001,0.3236,6.4723,,22.824,,24.2547,510.216,74.035,,624.439
1.4158,2.258,0.86,7.519,0.2307,6.0598,,13.8166,0.0003,0.0002,0.3086,6.4315,,23.6957,,25.1198,508.431,73.9201,,623.324
1.4431,2.4451,1.1835,7.6698,0.255,4.5222,,12.4565,0.0003,0.0001,0.4027,6.4413,,22.9497,,24.4023,513.405,74.4905,,628.397
1.4086,2.1638,0.864,7.3906,0.2446,6.0033,,13.6487,0.0003,0.0002,0.3249,6.4568,,23.4809,,24.8978,512.602,81.3558,,634.815
1.2714,1.8093,1.3649,7.7472,0.2761,4.5085,,12.5349,0.0002,0.0001,0.357,6.4777,,22.5522,,23.8339,513.373,74.5985,,625.359
1.4289,2.153,0.8455,7.4709,0.2372,6.0272,,13.7466,0.0002,0.0003,0.3307,6.4743,,23.5711,,25.008,512.051,80.6019,,633.514
1.4458,2.3283,1.5555,7.5905,0.253,5.0483,,12.9004,0.0003,0.0002,0.3243,6.5704,,23.699,,25.1539,519.61,75.3608,,636.24
1.4105,2.1566,0.8352,7.5066,0.2211,6.0417,,13.7783,0.0002,0.0001,0.3198,6.5038,,23.6078,,25.0271,527.179,75.7778,,643.819
