15,0.0168,0.2217,0.7374,0.0569,0.0019,0.3095,0.0001,0.0661,0.1514,0.0001,0.2587,0.8624,0.12,1.968,5.548,0.8852,8.6072,
16,0.026,0.2749,0.7446,0.0607,0.0026,0.2538,0.0001,0.0748,0.1525,0.0002,0.2663,0.8304,0.1387,2.0313,9.3349,0.9102,12.5038,
17,0.0161,0.2431,0.767,0.0561,0.0036,0.297,0.0001,0.074,0.1502,0.0001,0.2588,0.8595,0.1315,2.0286,5.7457,0.9261,8.9115,
18,0.0182,0.2383,0.7232,0.0589,0.0023,0.3041,0.0001,0.0631,0.1521,0.0002,0.2517,0.8499,0.1175,1.9574,5.7392,0.9469,8.8523,
19,0.017,0.2265,0.7244,0.0627,0.0034,0.3142,0.0001,0.0856,0.1551,0.0002,0.2526,0.8907,0.1184,1.9883,5.8259,0.9276,8.9522,
20,0.0159,0.2338,0.7433,0.059,0.0043,0.3162,0.0001,0.0649,0.1649,0.0002,0.2612,0.8877,0.1155,2.0088,5.8325,0.968,9.0237,
21,0.0164,0.2522,0.739,0.0554,0.0021,0.3107,0.0001,0.0723,0.1547,0.0002,0.2736,0.8851,0.1201,2.0269,5.9536,0.9341,9.121,
22,0.0189,0.2276,0.7374,0.0529,0.0035,0.2972,0.0001,0.0674,0.159,0.0002,0.2603,0.8567,0.121,1.9741,6.0913,0.939,9.2178,
23,0.0168,0.239,0.7145,0.0551,0.0036,0.2479,0.0001,0.0732,0.1538,0.0003,0.252,0.8025,0.1198,1.9038,6.0338,0.9421,9.0892,
24,0.0179,0.2143,0.7538,0.056,0.0019,0.3145,0.0001,0.0761,0.1483,0.0002,0.2555,0.8724,0.1161,1.9893,10.8458,1.7258,14.783,
25,0.0182,0.2559,0.7624,0.0523,0.0025,0.306,0.0001,0.0749,0.1633,0.0002,0.2762,0.8942,0.1302,2.0733,8.7669,0.9492,12.0089,
26,0.017,0.2873,0.6862,0.0501,0.0014,0.2486,0.0001,0.0628,0.1545,0.0002,0.255,0.7812,0.121,1.8992,6.398,0.9381,9.4417,
27,0.016,0.309,0.6946,0.0472,0.0015,0.2981,0,0.0613,0.1496,0.0001,0.2446,0.8103,0.1165,1.952,6.5022,0.9473,9.6082,
