Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Count GPU to CPU,Execute kncomputeNeighbours,Neighbour resize,Copy neighbour & offset to CPU,s,Compute neighbours,Copy sorting indexes to CPU,s,neighborhood search, constraint projection,XSPH viscosity computation,s,SimStep
0.7931,1.5498,12.7478,0.0555,0.0024,0.9525,0.0001,0.3133,2.0269,0.0001,5.7647,,9.1322,0.5982,,24.8357,435.745,65.0023,,538.898
0.7843,1.7531,13.7004,0.0657,0.0044,0.7903,0.0001,0.3128,2.0183,0.0002,5.7664,,8.9778,0.5954,,25.829,438.762,65.9343,,543.682
0.7823,1.5924,12.8752,0.0602,0.0045,0.9927,0.0001,0.3077,2.0374,0.0002,5.7931,,9.2107,0.6129,,25.0906,446.236,66.1586,,550.679
0.7827,1.0381,13.4353,0.0652,0.0046,0.7832,0.0003,0.3121,2.0474,0.0001,5.8096,,9.0379,0.5941,,24.9017,436.711,65.534,,538.111
0.7863,1.6164,12.8238,0.0588,0.0022,1.0149,0.0001,0.3113,2.0469,0.0002,5.8142,,9.2729,0.5956,,25.1099,448.932,66.6477,,553.853
0.7917,1.8393,13.8795,0.0617,0.0049,0.7969,0.0001,0.3185,2.0458,0.0003,5.8202,,9.07,0.5916,,26.1883,450.023,67.2661,,556.726
0.7895,1.5692,12.9823,0.0639,0.005,1.007,0.0001,0.3242,2.0529,0.0002,5.8102,,9.2836,0.6013,,25.2409,451.081,66.979,,556.537
0.7787,1.6755,13.8053,0.0639,0.0039,0.788,0.0002,0.3033,2.048,0.0001,5.8459,,9.0739,0.5902,,25.9382,448.083,66.2271,,553.541
0.8011,1.5516,12.9137,0.0699,0.0039,1.001,0.0001,0.3097,2.0443,0.0002,5.8713,,9.3154,0.6035,,25.2015,455.439,66.868,,560.932
0.7814,1.6712,13.7982,0.0563,0.0023,0.7792,0.0001,0.3008,2.0665,0.0001,5.8808,,9.0994,0.5863,,25.9522,454.079,66.8853,,560.14
0.7793,1.5915,12.741,0.0621,0.0024,1.0345,0.0001,0.3053,2.0854,0.0002,5.9348,,9.4373,0.6547,,25.22,464.813,68.1652,,571.459
0.7739,1.0247,12.9228,0.0705,0.0037,0.7134,0.0001,0.3028,2.0905,0.0004,5.9227,,9.1205,0.6099,,24.4628,461.079,68.701,,564.988
0.7831,1.6041,12.809,0.0592,0.0034,1.0074,0.0001,0.3096,2.0875,0.0002,5.9266,,9.4097,0.6004,,25.2247,469.947,68.48,,576.822
0.8027,1.6747,13.6447,0.0603,0.0048,0.834,0.0001,0.3092,2.0703,0.0002,5.9478,,9.2496,0.592,,25.9793,469.581,68.2294,,577.301
0.7801,1.5166,12.796,0.0618,0.0022,1.009,0.0001,0.315,2.1258,0.0002,5.9552,,9.4853,0.6032,,25.1993,475.385,69.6154,,583.397
0.7982,1.72,14.0855,0.0559,0.0035,0.7998,0.0001,0.3723,2.1052,0.0002,5.9573,,9.3171,0.5905,,26.5303,481.447,70.159,,591.524
0.7883,1.7255,12.7939,0.0636,0.0038,1.0123,0.0001,0.3109,2.1181,0.0002,5.9942,,9.5233,0.5975,,25.4498,479.764,69.4025,,587.85
0.7825,1.8128,13.9396,0.0553,0.0028,0.8075,0.0001,0.3365,2.1134,0.0002,5.999,,9.3331,0.6065,,26.4922,486.477,70.5849,,596.732
0.7988,1.5653,13.0941,0.0596,0.0039,1.1024,0.0001,0.3164,2.1369,0.0001,6.0171,,9.6566,0.5972,,25.7305,502.735,71.1811,,613.04
0.8088,1.0262,13.2114,0.0634,0.0035,0.7524,0.0001,0.307,2.1068,0.0001,6.0986,,9.3415,0.6037,,25.0046,492.997,70.6107,,599.599
0.7905,1.5252,13.0402,0.0624,0.0039,1.0341,0.0002,0.3204,2.1295,0.0002,6.0266,,9.5992,0.5957,,25.5699,488.675,70.8541,,598.18
