,Unnecessary Copy,Copy to GPU,Arrange data,Full count array and resize neighbour array,Execute kncomputeNeighboursCount and resize neighbour offsets,Execute exclusive_scan over counts,Count resize,Set inverse offsets and counts,Execute kncomputeNeighbours,Neighbour resize,Inverse particle indexes,Copy neighbour data to CPU,Compute neighbours (Excluding),Compute neighbours,neighborhood search (Excluding),neighborhood search, constraint projection,XSPH viscosity computation,SimStep (Excluding),SimStep
297,0.7709,1.8937,12.9482,0.0602,0.0047,0.8012,0.0002,0.0727,2.7694,0.0002,8.2849,7.6281,,19.6438,,35.2771,628.069,86.919,,767.006
298,0.7921,1.7598,12.9502,0.0756,0.0027,1.001,0.0001,0.0838,2.7818,0.0002,8.4105,7.6041,,19.9789,,35.5011,635.395,86.4448,,774.335
299,0.7964,1.6185,13.164,0.0604,0.0048,1.0657,0.0002,0.0909,2.748,0.0002,8.3886,7.6273,,20.0066,,35.5998,635.292,86.49,,774.436
300,0.791,1.8303,13.8704,0.0619,0.0061,0.7996,0.0001,0.0717,2.7521,0.0002,8.3011,7.6114,,19.6256,,36.1355,635.255,87.3754,,775.803
301,0.7888,1.6667,13.0747,0.0614,0.0054,0.7904,0.0001,0.0748,2.7982,0.0002,8.2281,7.6568,,19.6355,,35.1833,630.634,86.2593,,769.019
302,0.7618,1.5908,13.0187,0.0634,0.0073,1.0407,0.0001,0.0893,2.7621,0.0002,8.4892,7.6169,,20.0947,,35.484,633.199,86.6792,,772.324
303,0.7584,1.6144,13.205,0.0611,0.0027,1.0317,0.0001,0.0865,2.7687,0.0001,8.5247,7.6101,,20.1033,,35.7025,647.462,86.6622,,786.659
304,0.7957,1.1349,13.0302,0.0668,0.0052,0.7752,0.0001,0.1358,2.7597,0.0002,8.4592,7.6446,,19.8695,,34.8489,630.693,86.254,,769.067
305,0.7797,1.6181,12.9973,0.0613,0.0035,0.9985,0.0002,0.0888,2.7603,0.0002,8.322,7.6409,,19.9032,,35.3181,628.793,87.4076,,768.335
306,0.7872,1.6098,12.9599,0.0714,0.0024,0.9978,0.0002,0.0842,2.78,0.0002,8.5485,7.6174,,20.1294,,35.5078,628.797,86.6221,,767.725
307,0.7717,1.7649,14.2636,0.0548,0.0051,0.8494,0.0001,0.0749,2.7318,0.0002,8.3814,7.6068,,19.7279,,36.5493,631.335,86.4529,,771.234
308,0.7767,1.5984,12.9917,0.0541,0.0042,0.8007,0.0001,0.0715,2.7429,0.0002,8.5537,7.613,,19.8653,,35.2529,640.635,86.7019,,779.493
309,0.7902,1.727,13.0529,0.0606,0.0057,1.0403,0.0004,0.0874,2.7658,0.0002,8.2407,7.6012,,19.8262,,35.415,629.571,87.3388,,769.421
310,0.7587,1.5586,13.0358,0.0637,0.0056,1.0871,0.0002,0.0889,2.757,0.0002,8.5388,7.6263,,20.1913,,35.5628,633.62,86.4972,,772.851
311,0.7663,1.7755,14.1609,0.0779,0.0045,0.8684,0.0001,0.0721,2.7642,0.0002,8.5407,7.5957,,19.9399,,36.6596,635.375,88.0499,,776.763
312,0.742,1.1216,13.3537,0.0622,0.0053,0.7824,0.0002,0.0793,2.7483,0.0002,8.4933,7.6407,,19.8337,,35.0692,630.555,86.5784,,769.127
313,0.7769,1.5631,12.956,0.0622,0.0046,1.0121,0.0001,0.0902,2.7538,0.0003,8.4034,7.6252,,19.9812,,35.2992,628.215,86.5274,,766.691
314,0.7555,1.7679,14.2074,0.0646,0.004,0.8136,0.0001,0.0736,2.7463,0.0002,8.335,7.6135,,19.6702,,36.4218,634.76,86.2941,,774.517
315,0.78,1.5351,13.1239,0.0514,0.0028,0.7805,0.0001,0.0759,2.7629,0.0002,8.3953,7.5993,,19.6904,,35.1463,631.684,86.377,,769.889
316,0.7865,1.5944,13.0285,0.0708,0.006,1.0703,0.0001,0.0872,2.7784,0.0003,8.3156,7.6286,,19.9774,,35.4076,631.484,86.4967,,770.043
317,0.7845,1.6134,13.131,0.0614,0.0049,1.0228,0.0001,0.0867,2.777,0.0002,8.338,7.5911,,19.8998,,35.448,628.902,86.4398,,767.396
318,0.7831,1.7141,13.9819,0.0556,0.0023,0.8538,0.0001,0.0726,2.7631,0.0003,8.5189,7.6382,,19.9232,,36.4236,640.757,86.7088,,780.663
319,0.7427,1.6268,12.5138,0.0615,0.0047,0.7807,0.0001,0.0728,2.7517,0.0003,8.4614,7.6061,,19.7692,,34.6688,634.113,86.8716,,772.332
320,0.8128,1.1196,13.1992,0.0669,0.0049,0.8447,0.0001,0.0719,2.7627,0.0002,8.5878,7.6752,,20.036,,35.1849,625.556,86.4213,,763.19
321,0.7562,1.6428,12.8162,0.0596,0.0059,1.0367,0.0002,0.0858,2.7688,0.0002,8.2711,7.6044,,19.8601,,35.0975,628.428,86.3611,,766.727
322,0.7817,1.7499,14.2614,0.0594,0.0048,0.8404,0.0001,0.0727,2.7524,0.0002,8.3289,7.6069,,19.687,,36.4951,630.932,86.3348,,770.657
323,0.7968,1.579,12.9866,0.0616,0.004,1.0423,0.0001,0.0838,2.7532,0.0002,8.3944,7.6181,,19.982,,35.3645,631.397,86.588,,769.99
324,0.7809,1.6316,13.0152,0.0638,0.005,1.0036,0.0001,0.0851,2.7453,0.0002,8.5338,7.5962,,20.0512,,35.4981,627.572,89.4303,,769.198
325,0.7991,1.8203,13.8552,0.0603,0.0027,0.8702,0.0002,0.0731,2.7386,0.0002,8.3742,7.6114,,19.75,,36.242,627.205,86.5989,,766.528
326,0.7813,1.5957,13.1593,0.1511,0.0049,0.8453,0.0001,0.075,2.7423,0.0003,8.2757,7.6009,,19.716,,35.2729,630.756,86.8894,,769.719
327,0.7917,1.6313,13.1176,0.0656,0.0048,1.0598,0.0002,0.0852,2.7412,0.0002,8.5736,7.6046,,20.1542,,35.7121,632.694,86.4991,,771.617
328,0.8097,1.1885,13.4932,0.0591,0.005,0.8047,0.0001,0.0742,2.749,0.0003,8.2929,7.6451,,19.6477,,35.1562,625.544,86.9201,,763.571
329,0.7806,1.5388,13.1929,0.0624,0.0046,0.8507,0.0002,0.0731,2.749,0.0002,8.4115,7.5984,,19.7712,,35.3044,633.309,86.2596,,771.666
330,0.7892,1.6766,13.1024,0.0648,0.0051,1.0761,0.0001,0.0871,2.7553,0.0002,8.3354,7.6778,,20.0252,,35.6114,633.241,86.3114,,771.989
331,0.7617,1.6278,13.0636,0.0628,0.0051,1.0634,0.0001,0.0862,2.7592,0.0002,8.4852,7.6043,,20.0841,,35.5554,633.491,86.652,,772.425
332,0.7836,1.7217,13.9176,0.0559,0.005,0.8684,0.0001,0.073,2.7514,0.0001,8.4781,7.6174,,19.8662,,36.3061,628.408,86.4312,,768.29
333,0.7715,1.5795,12.6718,0.0575,0.0048,0.8386,0.0001,0.0748,2.7551,0.0002,8.4246,7.5955,,19.7717,,34.8125,635.01,86.3618,,772.998
334,0.796,1.5886,13.1676,0.0633,0.0027,1.0901,0.0001,0.0888,2.7522,0.0004,8.4113,7.6055,,20.0322,,35.6039,639.121,86.539,,778.222
