,Unnecessary Copy,copyParticleData,computeMinMax,computeCellInformation,Execute kNeighborCount,Execute exclusive_scan over counts,Execute kNeighborhoodQueryWithCounts,Overhead,Compute neighbors,Neighbor copy from device to host - resize,Count copy from device to host - resize,Count copy from device to host - MemcpyDeviceToHost,Neighbor & Offset copy from device to host - MemcpyDeviceToHost,Overhead,Run hipNSearch,Overhead,neighborhood search,constraint projection,XSPH viscosity computation,Overhead,SimStep
46,1.4249,2.3019,7.9528,0.6523,2.8392,0.2023,3.5141,,6.567,0.0002,0.0002,0.332,5.9264,,23.7554,,25.1927,395.515,62.9297,,496.69
47,1.4403,2.1934,7.7551,0.607,4.1305,0.2742,4.1338,,8.5476,0.0003,0.0003,0.3175,5.7677,,25.2116,,26.6617,397.378,62.7227,,499.836
48,1.2905,1.7252,7.78,0.9171,3.1991,0.199,3.2844,,6.6855,0.0002,0.0002,0.3894,5.7808,,23.2872,,24.5871,401.713,63.2254,,500.326
49,1.4205,2.1685,7.4115,0.5777,4.0198,0.191,4.0622,,8.2793,0.0002,0.0003,0.325,5.79,,24.5799,,26.0109,402.153,63.2679,,504.466
50,1.3969,2.3432,7.9506,0.8871,2.9114,0.2013,3.588,,6.7063,0.0003,0.0003,0.4973,5.8029,,24.2039,,25.6089,411.428,63.4208,,513.331
51,1.4222,2.2552,7.9042,0.6822,4.3233,0.1918,4.2225,,8.7415,0.0002,0.0003,0.311,5.809,,25.7234,,27.1554,407.384,63.6305,,511.157
52,1.4393,2.2814,8.0376,0.951,3.0036,0.1968,3.4529,,6.6624,0.0002,0.0003,0.3144,5.8293,,24.0989,,25.5468,410.605,64.1202,,513.336
53,1.4192,2.3264,8.0042,0.6346,4.5076,0.2045,4.3594,,9.0813,0.0003,0.0003,0.3178,5.844,,26.2315,,27.6606,412.921,64.3846,,517.921
54,1.4133,2.4063,8.0371,0.6812,3.1945,0.2103,3.6424,,7.0565,0.0003,0.0003,0.3168,6.061,,24.5843,,26.0078,419.387,64.7872,,523.203
55,1.4324,2.1235,7.78,0.6825,4.3203,0.2156,4.2801,,8.8249,0.0002,0.0003,0.3313,5.884,,25.6533,,27.0966,419.463,65.2038,,524.559
56,1.2964,1.7065,7.8273,1.0036,2.9818,0.2536,3.7383,,6.9769,0.0003,0.0002,0.3585,5.9416,,23.8281,,25.1348,417.475,68.3899,,521.801
57,1.416,2.2573,7.8684,0.6029,4.45,0.2211,4.3911,,9.0704,0.0002,0.0002,0.3186,5.9682,,26.0998,,27.5247,422.503,65.5556,,528.59
58,1.4173,2.3193,8.0904,0.6781,3.1293,0.1989,3.6706,,7.0083,0.0002,0.0003,0.3453,6.0939,,24.5598,,25.9872,426.076,66.1269,,531.092
59,1.4212,2.1458,7.5616,0.6783,4.2393,0.2196,4.2241,,8.6923,0.0002,0.0002,0.3245,5.9421,,25.3695,,26.8001,432.22,66.1003,,538.111
60,1.421,2.3059,7.9687,0.9096,3.0093,0.2077,3.5426,,6.7663,0.0003,0.0003,0.3137,5.9467,,24.2369,,25.6673,438.046,66.4826,,543.301
61,1.436,2.3082,7.8292,0.6175,4.4493,0.2781,4.3778,,9.1162,0.0003,0.0003,0.3257,5.966,,26.1837,,27.6279,434.25,66.9379,,541.963
62,1.4765,2.4433,8.0549,0.7481,3.2892,0.2007,3.7374,,7.234,0.0003,0.0003,0.396,6.1682,,25.0723,,26.5594,442.402,67.1139,,549.451
63,1.444,2.3323,7.9846,0.6407,4.5853,0.2342,4.4464,,9.2776,0.0003,0.0001,0.3269,5.9902,,26.5765,,28.0305,446.141,67.2932,,554.662
64,1.2788,1.71,7.9417,0.6694,3.1349,0.2089,3.7337,,7.0806,0.0002,0.0002,0.4167,6.2166,,24.0443,,25.3326,442.635,67.5616,,546.255
65,1.4226,2.1938,7.754,0.5925,4.4625,0.1832,4.3877,,9.0371,0.0002,0.0005,0.3123,6.0215,,25.9288,,27.3607,442.919,67.7292,,550.984
66,1.4227,2.4712,7.9829,0.9581,3.1035,0.2072,3.8287,,7.1498,0.0002,0.0001,0.3143,6.2218,,25.1262,,26.5575,446.276,67.7239,,553.576
67,1.4435,2.2891,7.8989,0.6807,4.581,0.273,4.439,,9.3005,0.0003,0.0003,0.3176,6.0537,,26.5643,,28.0189,449.315,68.4279,,558.972
68,1.4474,2.5518,8.0937,0.9184,3.1345,0.1913,3.8648,,7.1945,0.0003,0.0002,0.3592,6.2443,,25.3856,,26.8425,457.656,68.3788,,566.137
69,1.4149,2.3364,8.0319,0.6191,4.7196,0.2135,4.5961,,9.5408,0.0005,0.0003,0.3234,6.0853,,26.9612,,28.3858,452.351,68.5675,,562.351
70,1.4427,2.3394,7.9921,0.6942,3.3563,0.2013,3.8481,,7.414,0.0002,0.0003,0.3154,6.2862,,25.0658,,26.5173,459.487,68.9736,,568.078
71,1.4153,2.1157,7.7905,0.5984,4.5831,0.1965,4.5051,,9.2885,0.0002,0.0003,0.3147,6.1087,,26.24,,27.665,457.111,69.2097,,566.926
72,1.2873,1.5317,7.8707,0.7478,3.045,0.2031,3.9222,,7.1752,0.0002,0.0003,0.5127,6.1846,,24.0359,,25.3334,460.328,69.1116,,565.587
73,1.4116,2.1589,7.8195,0.6528,4.614,0.2047,4.5394,,9.3624,0.0002,0.0002,0.338,6.1507,,26.5103,,27.9322,461.111,69.4819,,571.467
74,1.443,2.3299,7.9282,0.9113,3.2111,0.2021,4.0658,,7.4901,0.0002,0.0003,0.3162,6.1523,,25.1479,,26.6015,468.781,69.8403,,578.342
75,1.4507,2.1593,7.8195,0.6204,4.6915,0.3087,4.6277,,9.6385,0.0002,0.0002,0.3166,6.1658,,26.7437,,28.2033,466.039,70.0686,,577.495
76,1.4402,2.3234,7.9791,0.9251,3.2401,0.2657,4.0709,,7.5874,0.0002,0.0003,0.3217,6.1821,,25.3439,,26.7928,467.149,70.2162,,577.153
77,1.4388,2.1816,7.8094,0.6238,4.7584,0.2222,4.6356,,9.6253,0.0002,0.0003,0.3141,6.1996,,26.7772,,28.2244,474.134,70.6221,,585.955
78,1.4451,2.1819,7.9035,0.8909,3.2679,0.2072,4.1384,,7.6226,0.0002,0.0003,0.3156,6.2093,,25.1504,,26.6049,472.844,70.8723,,583.357
79,1.4422,2.1047,7.7943,0.6725,4.7476,0.2217,4.6695,,9.6498,0.0003,0.0003,0.3248,6.2237,,26.794,,28.2465,478.116,71.0541,,590.493
80,1.2696,1.6233,7.7074,0.9264,3.3573,0.1908,4.078,,7.6297,0.0001,0.0001,0.3677,6.3644,,24.6306,,25.9097,474.607,70.773,,582.207
81,1.4135,2.2119,7.8218,0.6302,4.8367,0.2066,4.7326,,9.7893,0.0004,0.0002,0.3254,6.2557,,27.0626,,28.4841,482.396,71.5001,,595.313
82,1.4321,2.3654,8.1917,0.8554,3.3391,0.1849,4.2009,,7.7285,0.0004,0.0002,0.3066,6.2689,,25.7314,,27.1727,480.143,71.4085,,591.719
83,1.4243,2.2671,7.7808,0.5948,4.8415,0.2346,4.7449,,9.8384,0.0004,0.0002,0.329,6.2828,,27.1072,,28.541,482.747,71.8182,,596.166
84,1.4189,2.378,7.9434,0.9296,3.399,0.1945,4.3005,,7.9022,0.0002,0.0003,0.3166,6.2904,,25.7836,,27.2119,485.764,71.9646,,597.948
85,1.4267,2.3163,7.9851,0.6656,5.1594,0.2174,4.876,,10.2634,0.0002,0.0001,0.3149,6.308,,27.8789,,29.3158,488.651,72.4194,,603.334
86,1.4304,2.2501,8.0036,0.8756,3.3791,0.2063,4.2034,,7.7983,0.0002,0.0003,0.4745,6.315,,25.7411,,27.1818,496.246,72.4503,,609.083
